model,cost,quality,cost_rank,quality_rank,delta_cost_rank,delta_quality_rank,marginal_benefit
gemma_4b_ol_q4km,0.001567761720195828,0.3643231048096987,2.0,7.0,1.0,1.0,1.0
qwen_8b_ol_q4km,0.0016754215922203893,-0.2402492729674613,3.0,5.0,1.0,-2.0,-2.0
deepseek_8b_ol_q4km,0.0016942785437166611,0.7255444011239909,4.0,10.0,1.0,5.0,5.0
gemma_2b_hf_4bit,0.0028540553501266155,-1.1043050681768785,5.0,1.0,1.0,-9.0,-9.0
phi3_4b_hf_4bit,0.003392626181876497,-0.4391826193991572,6.0,4.0,1.0,3.0,3.0
qwen25_7b_hf_4bit,0.003471321606238659,0.6893365043401447,7.0,9.0,1.0,5.0,5.0
qwen25_3b_hf_4bit,0.0038351898750170754,1.0215198483291554,8.0,11.0,1.0,2.0,2.0
phi3_4b_hf_8bit,0.005024148292027618,-0.5603408297877388,9.0,3.0,1.0,-8.0,-8.0
gemma_2b_hf_8bit,0.005757711892383969,-1.019935880067269,10.0,2.0,1.0,-1.0,-1.0
qwen25_3b_hf_8bit,0.008871758614297199,0.6065902888028696,11.0,8.0,1.0,6.0,6.0
