model,quality,energy,speed,total_cost,qpc,cbr,rank
deepseek_8b_ol_q4km,0.7255444011239909,1.9735955056179777,41.08482400461627,0.0020721816479400746,350.13552110416765,0.0028560369906099684,1
qwen25_3b_hf_4bit,1.0215198483291554,1.75040490797546,17.347807577692635,0.004842578868438991,210.94542310643732,0.00474056267860065,2
gemma_4b_ol_q4km,0.3643231048096987,1.3921900826446283,40.19933554817276,0.0021039403122130396,173.16228159841842,0.005774929683122942,3
qwen25_7b_hf_4bit,0.6893365043401447,3.4128483353884094,17.634268319199826,0.004801488423071654,143.56725323501996,0.006965376696056151,4
qwen25_3b_hf_8bit,0.6065902888028696,2.52360736196319,7.261225944404847,0.011532562781186093,52.59804783308393,0.019012112448991016,5
gemma_2b_hf_4bit,-1.1043050681768785,1.4364663461538465,22.47433819556996,0.003739854166666667,-295.28024863096357,inf,6
gemma_2b_hf_8bit,-1.019935880067269,2.215366568914956,11.690092560850188,0.0071777738677093516,-142.0964074468345,inf,7
phi3_4b_hf_4bit,-0.4391826193991572,2.30587786259542,16.93600517129929,0.004971725190839694,-88.33606093280108,inf,8
phi3_4b_hf_8bit,-0.5603408297877388,2.643333333333333,12.376079309242083,0.006792160206718348,-82.49817624052615,inf,9
qwen_4b_ol_q4km,-0.043300477007354,1.194583333333333,59.345454545454544,0.0014307538126361655,-30.264100381862917,inf,10
qwen_8b_ol_q4km,-0.2402492729674613,1.9985416666666669,41.12903225806452,0.0020705558278867105,-116.03129446293124,inf,11
