model,cost,quality,cost_rank,quality_rank,delta_cost_rank,delta_quality_rank,marginal_benefit
gemma_4b_ol_q4km,0.001567761720195828,1.1703934587149594,2.0,11.0,1.0,6.0,6.0
qwen_8b_ol_q4km,0.0016754215922203893,-0.011945133292885,3.0,6.0,1.0,-5.0,-5.0
deepseek_8b_ol_q4km,0.0016942785437166611,0.6107612944651966,4.0,8.0,1.0,2.0,2.0
gemma_2b_hf_4bit,0.0028540553501266155,-1.073633111360153,5.0,2.0,1.0,-6.0,-6.0
phi3_4b_hf_4bit,0.003392626181876497,-0.5536573681047825,6.0,4.0,1.0,2.0,2.0
qwen25_7b_hf_4bit,0.003471321606238659,0.8206559004434433,7.0,9.0,1.0,5.0,5.0
qwen25_3b_hf_4bit,0.0038351898750170754,0.9337535384171516,8.0,10.0,1.0,1.0,1.0
phi3_4b_hf_8bit,0.005024148292027618,-0.5727838714414251,9.0,3.0,1.0,-7.0,-7.0
gemma_2b_hf_8bit,0.005757711892383969,-1.324940923493119,10.0,1.0,1.0,-2.0,-2.0
qwen25_3b_hf_8bit,0.008871758614297199,0.4688305022066131,11.0,7.0,1.0,6.0,6.0
