model,quality,energy,speed,total_cost,qpc,cbr,rank
gemma_4b_ol_q4km,1.1703934587149594,1.3921900826446283,40.19933554817276,0.0021039403122130396,556.2864364169511,0.0017976350572935307,1
deepseek_8b_ol_q4km,0.6107612944651966,1.9735955056179777,41.08482400461627,0.0020721816479400746,294.7431249921287,0.0033927848190749344,2
qwen25_3b_hf_4bit,0.9337535384171516,1.75040490797546,17.347807577692635,0.004842578868438991,192.82154483901007,0.00518614245537197,3
qwen25_7b_hf_4bit,0.8206559004434433,3.4128483353884094,17.634268319199826,0.004801488423071654,170.9169799306619,0.005850793762010556,4
qwen25_3b_hf_8bit,0.4688305022066131,2.52360736196319,7.261225944404847,0.011532562781186093,40.65275959056129,0.024598576088600364,5
gemma_2b_hf_4bit,-1.073633111360153,1.4364663461538465,22.47433819556996,0.003739854166666667,-287.07887086332096,inf,6
gemma_2b_hf_8bit,-1.324940923493119,2.215366568914956,11.690092560850188,0.0071777738677093516,-184.58939330112227,inf,7
phi3_4b_hf_4bit,-0.5536573681047825,2.30587786259542,16.93600517129929,0.004971725190839694,-111.3612170529629,inf,8
phi3_4b_hf_8bit,-0.5727838714414251,2.643333333333333,12.376079309242083,0.006792160206718348,-84.33014740654464,inf,9
qwen_4b_ol_q4km,-0.4674342865549984,1.194583333333333,59.345454545454544,0.0014307538126361655,-326.7049036855266,inf,10
qwen_8b_ol_q4km,-0.011945133292885,1.9985416666666669,41.12903225806452,0.0020705558278867105,-5.769046712967245,inf,11
