model,quality,energy,speed,energy_cost,time_cost,total_cost,cost_per_token,cbr,qpc,quality_norm,cost_norm,scenario_score,rank
gemma_4b_ol_q4km,1.1703934587149594,1.3921900826446283,40.19933554817276,3.093755739210285e-05,0.0020730027548209367,0.0021039403122130396,2.10394031221304e-06,0.0017976350572935307,556.2864364169511,1.0,0.9333598069739081,0.966679903486954,1
deepseek_8b_ol_q4km,0.6107612944651966,1.9735955056179777,41.08482400461627,4.385767790262173e-05,0.002028323970037453,0.0020721816479400746,2.0721816479400747e-06,0.0033927848190749344,294.7431249921287,0.7757285884248692,0.9365036660957584,0.8561161272603138,2
qwen25_3b_hf_4bit,0.9337535384171516,1.75040490797546,17.347807577692635,3.889788684389911e-05,0.004803680981595092,0.004842578868438991,4.842578868438991e-06,0.00518614245537197,192.82154483901007,0.9051670501616665,0.6622560309321928,0.7837115405469297,3
qwen25_7b_hf_4bit,0.8206559004434433,3.4128483353884094,17.634268319199826,7.584107411974244e-05,0.004725647348951911,0.004801488423071654,4.801488423071654e-06,0.005850793762010556,170.9169799306619,0.8598434098591472,0.6663236633231104,0.7630835365911288,4
qwen_8b_ol_q4km,-0.011945133292885,1.9985416666666669,41.12903225806452,4.441203703703704e-05,0.0020261437908496733,0.0020705558278867105,2.0705558278867106e-06,inf,-5.769046712967245,0.526180298545154,0.9366646095523636,0.7314224540487588,5
qwen_4b_ol_q4km,-0.4674342865549984,1.194583333333333,59.345454545454544,2.6546296296296288e-05,0.0014042075163398693,0.0014307538126361655,1.4307538126361655e-06,inf,-326.7049036855266,0.3436439793609255,1.0,0.6718219896804627,6
phi3_4b_hf_4bit,-0.5536573681047825,2.30587786259542,16.93600517129929,5.1241730279898226e-05,0.004920483460559796,0.004971725190839694,4.971725190839694e-06,inf,-111.3612170529629,0.30909026096367936,0.649471556111616,0.4792809085376477,7
gemma_2b_hf_4bit,-1.073633111360153,1.4364663461538465,22.47433819556996,3.1921474358974364e-05,0.0037079326923076927,0.003739854166666667,3.739854166666667e-06,inf,-287.07887086332096,0.10071107660953568,0.7714171430860107,0.4360641098477732,8
phi3_4b_hf_8bit,-0.5727838714414251,2.643333333333333,12.376079309242083,5.8740740740740735e-05,0.006733419465977607,0.006792160206718348,6.792160206718348e-06,inf,-84.33014740654464,0.3014253550204054,0.46926274187386563,0.38534404844713555,9
qwen25_3b_hf_8bit,0.4688305022066131,2.52360736196319,7.261225944404847,5.6080163599182e-05,0.01147648261758691,0.011532562781186093,1.1532562781186093e-05,0.024598576088600364,40.65275959056129,0.7188501222479269,0.0,0.35942506112396344,10
gemma_2b_hf_8bit,-1.324940923493119,2.215366568914956,11.690092560850188,4.923036819811014e-05,0.007128543499511242,0.0071777738677093516,7.1777738677093514e-06,inf,-184.58939330112227,0.0,0.43109000843656364,0.21554500421828182,11
