model,quality,energy,speed,energy_cost,time_cost,total_cost,cost_per_token,cbr,qpc,quality_norm,cost_norm,scenario_score,rank
gemma_4b_ol_q4km,1.1703934587149594,1.3253468644233162,54.17201783414134,2.945215254274036e-05,0.0015383095676530878,0.001567761720195828,1.5677617201958282e-06,0.001339516816778147,746.5378466880582,1.0,0.9358133345735312,0.9486506676588251,1
deepseek_8b_ol_q4km,0.6107612944651966,1.9436512683984368,50.47182189755951,4.319225040885415e-05,0.001651086293307807,0.0016942785437166611,1.694278543716661e-06,0.0027740437370056812,360.4845830871455,0.7757285884248692,0.9196035617306242,0.8908285670694732,2
qwen_4b_ol_q4km,-0.4674342865549984,1.0763437288730175,79.90785592464624,2.3918749530511503e-05,0.0010428678428303388,0.0010667865923608504,1.0667865923608504e-06,inf,-438.17038000125564,0.3436439793609255,1.0,0.8687287958721851,3
qwen_8b_ol_q4km,-0.011945133292885,1.9378999091527418,51.050919428882565,4.306444242561648e-05,0.0016323571497947728,0.0016754215922203893,1.6754215922203894e-06,inf,-7.1296283564391985,0.526180298545154,0.9220195795514791,0.8428517233502141,4
qwen25_7b_hf_4bit,0.8206559004434433,3.139517615225695,24.498602669573142,6.976705811612656e-05,0.0034015545481225324,0.003471321606238659,3.471321606238659e-06,0.004229935597079022,236.41021879636867,0.8598434098591472,0.6919226606937581,0.725506810526836,5
qwen25_3b_hf_4bit,0.9337535384171516,1.5824372414080992,21.92968257833279,3.5165272031291095e-05,0.0038000246029857845,0.0038351898750170754,3.835189875017075e-06,0.004107282829169549,243.46996337775695,0.9051670501616665,0.6453026000765334,0.69727549009356,6
gemma_2b_hf_4bit,-1.073633111360153,1.3416444657299593,29.506452348614317,2.9814321460665764e-05,0.0028242410286659497,0.0028540553501266155,2.8540553501266157e-06,inf,-376.1780973562839,0.10071107660953568,0.7710089475346564,0.6369493733496324,7
phi3_4b_hf_4bit,-0.5536573681047825,1.7948717122580509,24.855291420894037,3.9886038050178904e-05,0.0033527401438263184,0.003392626181876497,3.392626181876497e-06,inf,-163.19433336405746,0.30909026096367936,0.7020053905409611,0.6234223646255047,8
phi3_4b_hf_8bit,-0.5727838714414251,2.1935057166445566,16.74905957665237,4.8744571480990154e-05,0.004975403720546628,0.005024148292027618,5.0241482920276185e-06,inf,-114.0061634626362,0.3014253550204054,0.4929691370392665,0.4546603806354943,9
gemma_2b_hf_8bit,-1.324940923493119,2.189342550791787,14.596682419097457,4.865205668426194e-05,0.005709059835699707,0.005757711892383969,5.757711892383969e-06,inf,-230.11587732371407,0.0,0.398982432372725,0.31918594589818006,10
qwen25_3b_hf_8bit,0.4688305022066131,2.462408767015603,9.451397325123462,5.472019482256896e-05,0.00881703841947463,0.008871758614297199,8.871758614297198e-06,0.018923168549275456,52.845272576631395,0.7188501222479269,0.0,0.1437700244495854,11
