model,cost,quality,cost_rank,quality_rank,delta_cost_rank,delta_quality_rank,marginal_benefit
gemma_4b_ol_q4km,0.001567761720195828,-0.1412553648455605,2.0,6.0,1.0,-1.0,-1.0
qwen_8b_ol_q4km,0.0016754215922203893,-0.7033566034451914,3.0,3.0,1.0,-3.0,-3.0
deepseek_8b_ol_q4km,0.0016942785437166611,0.4120580155927789,4.0,8.0,1.0,5.0,5.0
gemma_2b_hf_4bit,0.0028540553501266155,-0.9141443854600096,5.0,1.0,1.0,-7.0,-7.0
phi3_4b_hf_4bit,0.003392626181876497,-0.6148910367539034,6.0,4.0,1.0,3.0,3.0
qwen25_7b_hf_4bit,0.003471321606238659,0.9105920165255426,7.0,9.0,1.0,5.0,5.0
qwen25_3b_hf_4bit,0.0038351898750170754,1.364158333982508,8.0,11.0,1.0,2.0,2.0
phi3_4b_hf_8bit,0.005024148292027618,-0.8235671034167125,9.0,2.0,1.0,-9.0,-9.0
gemma_2b_hf_8bit,0.005757711892383969,-0.5433066348226926,10.0,5.0,1.0,3.0,3.0
qwen25_3b_hf_8bit,0.008871758614297199,0.9657875002250604,11.0,10.0,1.0,5.0,5.0
