model,quality,energy,speed,total_cost,qpc,cbr,rank
qwen25_3b_hf_4bit,1.364158333982508,1.5824372414080992,21.92968257833279,0.0038351898750170754,355.6951229113355,0.0028113964335948205,1
qwen25_7b_hf_4bit,0.9105920165255426,3.139517615225695,24.498602669573142,0.003471321606238659,262.3185402611578,0.003812159060523991,2
deepseek_8b_ol_q4km,0.4120580155927789,1.9436512683984368,50.47182189755951,0.0016942785437166611,243.20559161946662,0.004111747568553675,3
qwen25_3b_hf_8bit,0.9657875002250604,2.462408767015603,9.451397325123462,0.008871758614297199,108.86088567250407,0.009186035864234922,4
qwen_4b_ol_q4km,0.0879252624181796,1.0763437288730175,79.90785592464624,0.0010667865923608504,82.42066693357735,0.012132879254737139,5
gemma_2b_hf_4bit,-0.9141443854600096,1.3416444657299593,29.506452348614317,0.0028540553501266155,-320.29665627173455,inf,6
gemma_2b_hf_8bit,-0.5433066348226926,2.189342550791787,14.596682419097457,0.005757711892383969,-94.36155281429643,inf,7
gemma_4b_ol_q4km,-0.1412553648455605,1.3253468644233162,54.17201783414134,0.001567761720195828,-90.10002159506509,inf,8
phi3_4b_hf_4bit,-0.6148910367539034,1.7948717122580509,24.855291420894037,0.003392626181876497,-181.2433801397479,inf,9
phi3_4b_hf_8bit,-0.8235671034167125,2.1935057166445566,16.74905957665237,0.005024148292027618,-163.92173469950302,inf,10
qwen_8b_ol_q4km,-0.7033566034451914,1.9378999091527418,51.050919428882565,0.0016754215922203893,-419.8087255835425,inf,11
