model,quality,energy,speed,total_cost,qpc,cbr,rank
qwen25_3b_hf_4bit,1.364158333982508,1.75040490797546,17.347807577692635,0.004842578868438991,281.7007984884396,0.003549865692130929,1
deepseek_8b_ol_q4km,0.4120580155927789,1.9735955056179777,41.08482400461627,0.0020721816479400746,198.85226567970028,0.005028858970159998,2
qwen25_7b_hf_4bit,0.9105920165255426,3.4128483353884094,17.634268319199826,0.004801488423071654,189.64786255654658,0.005272930506674357,3
qwen25_3b_hf_8bit,0.9657875002250604,2.52360736196319,7.261225944404847,0.011532562781186093,83.74439563430079,0.011941097579435046,4
qwen_4b_ol_q4km,0.0879252624181796,1.194583333333333,59.345454545454544,0.0014307538126361655,61.45380263301708,0.016272386038854062,5
gemma_4b_ol_q4km,-0.1412553648455605,1.3921900826446283,40.19933554817276,0.0021039403122130396,-67.13848488267254,inf,6
gemma_2b_hf_8bit,-0.5433066348226926,2.215366568914956,11.690092560850188,0.0071777738677093516,-75.69291605394062,inf,7
phi3_4b_hf_8bit,-0.8235671034167125,2.643333333333333,12.376079309242083,0.006792160206718348,-121.25260275841185,inf,8
phi3_4b_hf_4bit,-0.6148910367539034,2.30587786259542,16.93600517129929,0.004971725190839694,-123.6775994551807,inf,9
gemma_2b_hf_4bit,-0.9141443854600096,1.4364663461538465,22.47433819556996,0.003739854166666667,-244.43316362648088,inf,10
qwen_8b_ol_q4km,-0.7033566034451914,1.9985416666666669,41.12903225806452,0.0020705558278867105,-339.69458537279064,inf,11
