model,quality,energy,speed,energy_cost,time_cost,total_cost,cost_per_token,cbr,qpc,quality_norm,cost_norm,speed_norm,scenario_score,rank
qwen_4b_ol_q4km,0.0879252624181796,1.0763437288730175,79.90785592464624,2.3918749530511503e-05,0.0010428678428303388,0.0010667865923608504,1.0667865923608504e-06,0.012132879254737139,82.42066693357735,0.4398316515741102,1.0,1.0,0.8319494954722331,1
deepseek_8b_ol_q4km,0.4120580155927789,1.9436512683984368,50.47182189755951,4.319225040885415e-05,0.001651086293307807,0.0016942785437166611,1.694278543716661e-06,0.004111747568553675,243.20559161946662,0.5821010481773465,0.9196035617306242,0.5822095715255533,0.6833952115826125,2
gemma_4b_ol_q4km,-0.1412553648455605,1.3253468644233162,54.17201783414134,2.945215254274036e-05,0.0015383095676530878,0.001567761720195828,1.5677617201958282e-06,inf,-90.10002159506509,0.33923894924883774,0.9358133345735312,0.6347270555168207,0.6364065073534391,3
qwen25_3b_hf_4bit,1.364158333982508,1.5824372414080992,21.92968257833279,3.5165272031291095e-05,0.0038000246029857845,0.0038351898750170754,3.835189875017075e-06,0.0028113964335948205,355.6951229113355,1.0,0.6453026000765334,0.17710633632803463,0.5644333145541738,4
qwen_8b_ol_q4km,-0.7033566034451914,1.9378999091527418,51.050919428882565,4.306444242561648e-05,0.0016323571497947728,0.0016754215922203893,1.6754215922203894e-06,inf,-419.8087255835425,0.09251965518717213,0.9220195795514791,0.5904287971697866,0.54053328928951,5
qwen25_7b_hf_4bit,0.9105920165255426,3.139517615225695,24.498602669573142,6.976705811612656e-05,0.0034015545481225324,0.003471321606238659,3.471321606238659e-06,0.003812159060523991,262.3185402611578,0.8009192046402203,0.6919226606937581,0.21356743786937368,0.533279534747943,6
gemma_2b_hf_4bit,-0.9141443854600096,1.3416444657299593,29.506452348614317,2.9814321460665764e-05,0.0028242410286659497,0.0028540553501266155,2.8540553501266157e-06,inf,-320.29665627173455,0.0,0.7710089475346564,0.28464466455069165,0.3451605500806736,7
phi3_4b_hf_4bit,-0.6148910367539034,1.7948717122580509,24.855291420894037,3.9886038050178904e-05,0.0033527401438263184,0.003392626181876497,3.392626181876497e-06,inf,-181.2433801397479,0.13134924790825475,0.7020053905409611,0.21862997945052706,0.33745838331497563,8
qwen25_3b_hf_8bit,0.9657875002250604,2.462408767015603,9.451397325123462,5.472019482256896e-05,0.00881703841947463,0.008871758614297199,8.871758614297198e-06,0.009186035864234922,108.86088567250407,0.8251457849047709,0.0,0.0,0.24754373547143124,9
phi3_4b_hf_8bit,-0.8235671034167125,2.1935057166445566,16.74905957665237,4.8744571480990154e-05,0.004975403720546628,0.005024148292027618,5.0241482920276185e-06,inf,-163.92173469950302,0.039756473654853346,0.4929691370392665,0.1035769097196483,0.20124844709609527,10
gemma_2b_hf_8bit,-0.5433066348226926,2.189342550791787,14.596682419097457,4.865205668426194e-05,0.005709059835699707,0.005757711892383969,5.757711892383969e-06,inf,-94.36155281429643,0.1627693051817355,0.398982432372725,0.073027869924885,0.19773666923629213,11
