model,model_full,quality,energy,speed
deepseek_8b_ol_q4km,deepseek-r1:8b,1.0,1.8945416666666663,38.216560509554135
gemma_2b_hf_4bit,google--gemma-2b-it:4bit,1.0,1.2666666666666668,22.36024844720497
gemma_2b_hf_8bit,google--gemma-2b-it:8bit,1.0,2.080178571428571,12.541993281075028
gemma_4b_ol_q4km,gemma3:4b,1.0,1.3071666666666668,48.48484848484848
phi3_4b_hf_4bit,microsoft--phi-3-mini-4k-instruct:4bit,1.0,1.6280829015544045,20.146137787056368
phi3_4b_hf_8bit,microsoft--phi-3-mini-4k-instruct:8bit,1.0,2.07247572815534,12.947831552482716
qwen25_3b_hf_4bit,qwen--qwen2.5-3b-instruct:4bit,1.0,1.5129583333333334,15.748031496062993
qwen25_3b_hf_8bit,qwen--qwen2.5-3b-instruct:8bit,1.0,2.410625,7.568590350047303
qwen25_7b_hf_4bit,qwen--qwen2.5-7b-instruct:4bit,1.0,3.051125,19.261637239165328
qwen_4b_ol_q4km,qwen3:4b,1.0,1.0295833333333333,57.55395683453237
qwen_8b_ol_q4km,qwen3:8b,1.0,1.922875,36.92307692307692
