model,model_full,quality,energy,speed
deepseek_8b_ol_q4km,deepseek-r1:8b,0.2590238665775942,1.9290070921985816,40.869565217391305
gemma_2b_hf_4bit,google--gemma-2b-it:4bit,0.11956656195831727,1.2718571428571428,23.41137123745819
gemma_2b_hf_8bit,google--gemma-2b-it:8bit,0.1955377686592195,2.1299056603773585,12.282734646581693
gemma_4b_ol_q4km,gemma3:4b,0.23604505563488945,1.2888157894736842,40.64171122994652
phi3_4b_hf_4bit,microsoft--phi-3-mini-4k-instruct:4bit,0.2274937152083024,1.7482952182952185,19.24769907963185
phi3_4b_hf_8bit,microsoft--phi-3-mini-4k-instruct:8bit,0.17321085795286725,2.16680412371134,12.572909915748545
qwen25_3b_hf_4bit,qwen--qwen2.5-3b-instruct:4bit,0.8172486105406016,1.5540416666666668,17.647058823529413
qwen25_3b_hf_8bit,qwen--qwen2.5-3b-instruct:8bit,0.7920705925695217,2.4722291666666667,7.332722273143905
qwen25_7b_hf_4bit,qwen--qwen2.5-7b-instruct:4bit,0.9040836831767219,3.1537916666666663,19.055180627233028
qwen25_7b_hf_8bit,qwen--qwen2.5-7b-instruct:8bit,0.10014343607745907,9.26912,3.423250718882651
qwen_4b_ol_q4km,qwen3:4b,0.6191903483679038,1.0827708333333337,65.75342465753425
qwen_8b_ol_q4km,qwen3:8b,0.17389107921453534,1.937659090909091,41.50943396226416
