model,model_full,quality,energy,speed
deepseek_8b_ol_q4km,deepseek-r1:8b,0.9734519168073754,1.8834732824427485,37.48211731044349
gemma_2b_hf_4bit,google--gemma-2b-it:4bit,0.0541113221738571,1.2271942446043167,21.958925750394943
gemma_2b_hf_8bit,google--gemma-2b-it:8bit,0.05380985567589936,2.096223776223776,11.412609736632083
gemma_4b_ol_q4km,gemma3:4b,0.0683241013102902,1.26098814229249,48.93617021276596
phi3_4b_hf_4bit,microsoft--phi-3-mini-4k-instruct:4bit,0.2523372145708893,1.6212110726643598,20.613409415121257
phi3_4b_hf_8bit,microsoft--phi-3-mini-4k-instruct:8bit,0.15028987475612018,2.059409722222222,13.59131665880132
qwen25_3b_hf_4bit,qwen--qwen2.5-3b-instruct:4bit,0.1015878206304198,1.5170138888888889,16.802800466744458
qwen25_3b_hf_8bit,qwen--qwen2.5-3b-instruct:8bit,0.1297597760120891,2.4115277777777777,7.643312101910828
qwen25_7b_hf_4bit,qwen--qwen2.5-7b-instruct:4bit,0.0950803632176336,3.0989860139860137,18.741808650065533
qwen_4b_ol_q4km,qwen3:4b,0.06709604918207711,1.0331944444444443,60.504201680672274
qwen_8b_ol_q4km,qwen3:8b,0.07969135837367075,1.847986111111111,40.0
