model,model_full,quality,energy,speed
deepseek_8b_ol_q4km,deepseek-r1:8b,0.44333976752020904,1.935857843137255,40.84084084084084
gemma_2b_hf_4bit,google--gemma-2b-it:4bit,-1.8205071988656183,1.3565822784810126,25.0
gemma_2b_hf_8bit,google--gemma-2b-it:8bit,-1.8085468947799699,2.163582089552239,12.271062271062272
gemma_4b_ol_q4km,gemma3:4b,0.08744871924513434,1.261090909090909,49.54954954954955
phi3_4b_hf_4bit,microsoft--phi-3-mini-4k-instruct:4bit,-0.41609573754845264,1.6601503759398497,19.08177905308465
phi3_4b_hf_8bit,microsoft--phi-3-mini-4k-instruct:8bit,-0.230801199571749,1.991869918699187,12.77258566978193
qwen25_3b_hf_4bit,qwen--qwen2.5-3b-instruct:4bit,1.4266875381384827,1.5625552825552826,17.726480836236934
qwen25_3b_hf_8bit,qwen--qwen2.5-3b-instruct:8bit,1.1526102709219526,2.4691400491400493,7.429718875502008
qwen25_7b_hf_4bit,qwen--qwen2.5-7b-instruct:4bit,0.6222551706142706,3.124250614250614,19.46437111429938
qwen_4b_ol_q4km,qwen3:4b,-0.28427387070673693,1.0494852941176471,64.65927099841522
qwen_8b_ol_q4km,qwen3:8b,0.8278834350324771,1.9393627450980395,40.92276830491474
