model,model_full,quality,energy,speed
deepseek_8b_ol_q4km,deepseek-r1:8b,1.9931494409811907,1.9419117647058823,41.25379170879676
gemma_2b_hf_4bit,google--gemma-2b-it:4bit,-4.042187320224616,1.2110416666666668,20.96069868995633
gemma_2b_hf_8bit,google--gemma-2b-it:8bit,-4.017759775840344,2.1124444444444443,9.414225941422592
gemma_4b_ol_q4km,gemma3:4b,1.2217848061391783,1.2960456273764258,49.52919020715631
phi3_4b_hf_4bit,microsoft--phi-3-mini-4k-instruct:4bit,-0.16086920917414432,1.7880929095354523,19.815891472868216
phi3_4b_hf_8bit,microsoft--phi-3-mini-4k-instruct:8bit,-0.591814491194174,2.2051344743276284,13.6015962753575
qwen25_3b_hf_4bit,qwen--qwen2.5-3b-instruct:4bit,2.3294444428721843,1.5803439803439805,16.804293971924032
qwen25_3b_hf_8bit,qwen--qwen2.5-3b-instruct:8bit,-0.2571333723059813,2.4495577395577395,7.485745815707192
qwen25_7b_hf_4bit,qwen--qwen2.5-7b-instruct:4bit,1.8886680183610691,3.1075490196078435,19.309039280643635
qwen_4b_ol_q4km,qwen3:4b,1.9118214271704863,1.0500245098039216,64.55696202531645
qwen_8b_ol_q4km,qwen3:8b,-0.27510396678484894,1.9391666666666665,41.08761329305136
