指标,均值,标准差,最小值,最大值,中位数,变异系数
code_length,8.345454545454546,6.054479934125414,2.2,20.0,5.8,0.7254823450477076
code_simplicity,0.7133982952466121,0.12324829404298734,0.4979770838917181,0.8566526610644258,0.7592690058479532,0.1727622491729982
compilation_success,0.49090909090909085,0.3144981572427586,0.0,1.0,0.6,0.6406443943833972
cyclomatic_complexity,4.818181818181819,4.3076253741053625,1.6,17.0,3.2,0.8940354550029995
efficiency_dimension,0.7370909090909091,0.09394621285124222,0.58,0.868,0.748,0.12745539484011648
functional_correctness,0.16363636363636366,0.2656039430156385,0.0,0.8,0.0,1.6231352073177905
functional_dimension,0.2618181818181818,0.2519451599780469,0.0,0.86,0.24,0.9622905415828181
has_code,1.0,0.0,1.0,1.0,1.0,0.0
has_docstring,0.14545454545454548,0.3110100846070312,0.0,1.0,0.0,2.1381943316733394
has_type_hints,0.30909090909090914,0.25866791627314534,0.0,0.8,0.2,0.8368667879425289
nesting_depth,0.38181818181818183,0.7011678569617719,0.0,2.2,0.0,1.83639200632845
quality_dimension,0.7133982952466121,0.12324829404298734,0.4979770838917181,0.8566526610644258,0.7592690058479532,0.1727622491729982
readability_dimension,0.22513576761402848,0.15283318817929192,0.08,0.5692546583850933,0.18,0.6788489887635638
readability_score,0.22513576761402848,0.15283318817929192,0.08,0.5692546583850933,0.18,0.6788489887635638
space_complexity_score,0.7927272727272728,0.056051923979629686,0.7,0.8800000000000001,0.76,0.07070770226788148
test_pass_rate,0.23939393939393938,0.33889302862184234,0.0,0.8,0.0,1.415629106901367
tests_passed,0.7696969696969697,1.1590661514488045,0.0,2.8,0.0,1.505873346370494
tests_total,1.6363636363636365,0.9871906880362348,0.0,3.0,1.8,0.6032831982443656
time_complexity_score,0.7000000000000001,0.12743625857659194,0.5,0.9,0.7,0.1820517979665599
