评分指标 \ 模型,avg_sentence_length,distinct_1,distinct_2,metaphor_count,parallelism_count,perplexity,personification_count,repetition_count,sentence_count,text_length,token_count,total_rhetorical_devices,unique_token_ratio
avg_sentence_length,1.0,-0.030465790034956967,-0.3541079452547002,-0.11673288614868609,-0.016611779040285074,-0.020226156171319735,0.12284905365980738,,-0.2077698526723413,-0.11746953022943996,-0.22310307566167342,-0.06133325200211389,-0.030465790034956967
distinct_1,-0.030465790034956967,1.0,0.9125190655913202,-0.8574401706438183,-0.8707171736229727,-0.7420570154477517,-0.6418732948166574,,-0.8231860247524826,-0.8607457051856737,-0.8344764910755835,-0.8746469427498003,1.0
distinct_2,-0.3541079452547002,0.9125190655913202,1.0,-0.7381427548563029,-0.7520774060527795,-0.6566203339604401,-0.5690007386272663,,-0.6163193292696759,-0.673071817131706,-0.6269386526063114,-0.7553037181224606,0.9125190655913202
metaphor_count,-0.11673288614868609,-0.8574401706438183,-0.7381427548563029,1.0,0.933247807053872,0.8239222486124173,0.6822635529937561,,0.88875665661417,0.8616375284529549,0.8499022179872144,0.9819998130873189,-0.8574401706438183
parallelism_count,-0.016611779040285074,-0.8707171736229727,-0.7520774060527795,0.933247807053872,1.0,0.9040635911109304,0.8166464468623692,,0.9580272238083785,0.9643844697662256,0.9482042008687727,0.9824414389109526,-0.8707171736229729
perplexity,-0.020226156171319735,-0.7420570154477517,-0.6566203339604401,0.8239222486124173,0.9040635911109304,1.0,0.9550863950455057,,0.8205669082621888,0.8897225595685505,0.8892951955047923,0.8950681690317874,-0.7420570154477518
personification_count,0.12284905365980738,-0.6418732948166574,-0.5690007386272663,0.6822635529937561,0.8166464468623692,0.9550863950455057,1.0,,0.7393115737671442,0.8391241614262941,0.8169165788322761,0.7853871283289341,-0.6418732948166574
repetition_count,,,,,,,,,,,,,
sentence_count,-0.2077698526723413,-0.8231860247524826,-0.6163193292696759,0.88875665661417,0.9580272238083785,0.8205669082621888,0.7393115737671442,,1.0,0.9680240841610782,0.9614626734828776,0.934697406487228,-0.8231860247524827
text_length,-0.11746953022943996,-0.8607457051856737,-0.673071817131706,0.8616375284529549,0.9643844697662256,0.8897225595685505,0.8391241614262941,,0.9680240841610782,1.0,0.9899076166812393,0.9303765418093477,-0.860745705185674
token_count,-0.22310307566167342,-0.8344764910755835,-0.6269386526063114,0.8499022179872144,0.9482042008687727,0.8892951955047923,0.8169165788322761,,0.9614626734828776,0.9899076166812393,1.0,0.915608804087364,-0.8344764910755835
total_rhetorical_devices,-0.06133325200211389,-0.8746469427498003,-0.7553037181224606,0.9819998130873189,0.9824414389109526,0.8950681690317874,0.7853871283289341,,0.934697406487228,0.9303765418093477,0.915608804087364,1.0,-0.8746469427498
unique_token_ratio,-0.030465790034956967,1.0,0.9125190655913202,-0.8574401706438183,-0.8707171736229729,-0.7420570154477518,-0.6418732948166574,,-0.8231860247524827,-0.860745705185674,-0.8344764910755835,-0.8746469427498,1.0
