指标,均值,标准差,最小值,最大值,中位数,变异系数
avg_sentence_length,43.594545454545454,17.250299454581278,26.994,79.356,35.93599999999999,0.3956985736338868
distinct_1,0.5284236363636363,0.1280646073880467,0.3655,0.7651600000000001,0.5425800000000001,0.24235215568578136
distinct_2,0.8063454545454545,0.09978657067598189,0.68584,0.9605,0.81074,0.12375163785381867
metaphor_count,2.4545454545454546,2.0958834110530273,0.2,6.4,1.4,0.8538784267253074
parallelism_count,1.4727272727272727,1.494717972790124,0.0,4.0,0.8,1.0149319568328004
perplexity,0.09884157705244824,0.09023270500313281,0.014388876473691746,0.2510892376330683,0.052553326157120286,0.9129023199948813
personification_count,0.2545454545454546,0.3110100846070312,0.0,0.8,0.2,1.2218253323847654
repetition_count,0.0,0.0,0.0,0.0,0.0,
sentence_count,13.52727272727273,9.691345717607119,2.8,29.0,9.2,0.7164301269736444
text_length,426.1818181818182,281.86909663239715,120.2,817.2,352.8,0.6613822659889864
token_count,357.21818181818185,244.2440329595866,67.6,705.6,281.6,0.6837390854979011
total_rhetorical_devices,4.181818181818182,3.770893311091732,0.4,10.8,2.2,0.9017353570001968
unique_token_ratio,0.5284236363636363,0.1280646073880467,0.3655,0.7651600000000001,0.5425800000000001,0.24235215568578136
