指标,均值,标准差,最小值,最大值,中位数,变异系数
exact_match,0.6,0.264575131106459,0.2,1.0,0.6,0.4409585518440984
extracted_answer,65.93545454545455,28.569121919875787,31.2,112.25,48.8,0.43328922378446366
extraction_confidence,0.3909090909090909,0.14348899229240866,0.2,0.5800000000000001,0.3399999999999999,0.36706486400383614
has_answer,0.9818181818181819,0.06030226891555271,0.8,1.0,1.0,0.06141897759917405
has_calculation,0.6363636363636364,0.2292279532375023,0.4,1.0,0.6,0.36021535508750363
has_reasoning,0.9272727272727274,0.13483997249264842,0.6,1.0,1.0,0.14541565660971886
numerical_match,0.6,0.264575131106459,0.2,1.0,0.6,0.4409585518440984
reference_answer,50.37272727272727,4.389041104635707,48.4,59.25,48.4,0.0871312978722122
step_count,14.963636363636363,7.85525591273419,5.25,28.2,17.0,0.5249563489676555
text_length,870.3636363636364,505.1035978345973,243.5,1622.4,814.0,0.5803362832860424
