指标,均值,标准差,最小值,最大值,中位数,变异系数
answer_length,900.3636363636365,242.42809768146626,417.0,1075.6,1033.2,0.26925576277222624
avg_paragraph_length,198.91406926406924,53.450328705268944,104.07666666666668,288.9833333333333,212.40666666666667,0.26871064929203536
certainty_count,0.23636363636363641,0.1747725795010606,0.0,0.6,0.2,0.7394224517352562
confidence_score,0.4818181818181818,0.0981649817214043,0.3,0.5599999999999999,0.52,0.20373864130857497
has_answer,1.0,0.0,1.0,1.0,1.0,0.0
has_conclusion,0.16363636363636364,0.19632996344280856,0.0,0.6,0.2,1.1997942210393857
has_enumeration,0.6000000000000001,0.2,0.4,1.0,0.6,0.3333333333333333
has_examples,0.21818181818181823,0.2088931871468374,0.0,0.6,0.2,0.957427107756338
has_reasoning,0.9272727272727272,0.13483997249264842,0.6,1.0,1.0,0.1454156566097189
paragraph_count,4.709090909090909,0.806789372084865,3.6,5.8,4.8,0.17132592843500996
reasoning_steps,10.30909090909091,4.192720965066611,4.0,15.4,11.4,0.4067013281810645
technical_term_count,17.09090909090909,4.136049938154652,10.8,23.6,16.8,0.2420029219133041
technical_term_density,0.3981773277937241,0.10438276635607446,0.2699692747422794,0.5367074287798781,0.3635231211268334,0.26215145632337455
uncertainty_count,0.38181818181818183,0.6415889366536518,0.0,1.8,0.0,1.6803519769500403
