评分指标 \ 模型,avg_sentence_length,coherence_score,completeness_score,conclusion_correct,conclusion_f1,connector_density,depth_score,extraction_confidence,has_conclusion,has_logical_connectors,has_premise,has_reasoning_steps,keyword_coverage,reasoning_keyword_count,sentence_count,step_count
avg_sentence_length,1.0,-0.4343759312610159,0.37479729714192805,-0.3715509239072258,-0.060097316561428075,-0.3768923651098302,0.47474823071484434,0.539678155248051,0.5425020048308773,0.43411576117035516,0.05275620314933123,0.45967483300366246,,0.16922737914452435,0.12478216046745619,0.12478216046745619
coherence_score,-0.4343759312610159,1.0,-0.8934306801983579,0.14308795121570672,-0.21117502252410308,-0.17210836585478265,-0.8866549944044104,-0.7656202509663563,-0.727074657161803,-0.99652606345827,-0.6892670673418867,-0.9510644551558418,,-0.6806756514418575,-0.6093912558539625,-0.6093912558539625
completeness_score,0.37479729714192805,-0.8934306801983579,1.0,-0.058949172400938686,0.27761642528873165,0.08807040832180622,0.9454442392302703,0.8892352781898389,0.867068377854878,0.9017689425635896,0.8823201474995889,0.9020131369100055,,0.8095820575811705,0.8564534349779459,0.8564534349779459
conclusion_correct,-0.3715509239072258,0.14308795121570672,-0.058949172400938686,1.0,0.7016464154456233,-0.31053491782805387,-0.2869041816527804,0.1268864803313434,0.13277125113594854,-0.16738351585299666,-0.1554473531413843,-0.09172492321316796,,-0.11703791573216944,0.11544608827943159,0.11544608827943159
conclusion_f1,-0.060097316561428075,-0.21117502252410308,0.27761642528873165,0.7016464154456233,1.0,-0.20443918528365984,0.16906378985150047,0.31345783441076813,0.30276503540974914,0.20552707683014618,0.20851441405707477,0.23904572186687872,,-0.1487569731465532,0.29229334867330986,0.29229334867330986
connector_density,-0.3768923651098302,-0.17210836585478265,0.08807040832180622,-0.31053491782805387,-0.20443918528365984,1.0,0.033969718018446886,-0.06309846196278687,-0.15724587810421073,0.1527359898490552,0.2106079428305753,0.12680971171040223,,0.29298733159662715,-0.004527041546941358,-0.004527041546941358
depth_score,0.47474823071484434,-0.8866549944044104,0.9454442392302703,-0.2869041816527804,0.16906378985150047,0.033969718018446886,1.0,0.7622573379690168,0.7402887385018337,0.9127382321430029,0.8706183237411858,0.8783557081261346,,0.6763190290421287,0.7866295672817771,0.7866295672817771
extraction_confidence,0.539678155248051,-0.7656202509663563,0.8892352781898389,0.1268864803313434,0.31345783441076813,-0.06309846196278687,0.7622573379690168,1.0,0.9490407233483943,0.757513818517252,0.6184106639132761,0.8357661056711411,,0.7796122073936259,0.7806275753787957,0.7806275753787957
has_conclusion,0.5425020048308773,-0.727074657161803,0.867068377854878,0.13277125113594854,0.30276503540974914,-0.15724587810421073,0.7402887385018337,0.9490407233483943,1.0,0.7111590022187594,0.6313087395543334,0.7237468644557457,,0.7418091098709246,0.694490093923271,0.694490093923271
has_logical_connectors,0.43411576117035516,-0.99652606345827,0.9017689425635896,-0.16738351585299666,0.20552707683014618,0.1527359898490552,0.9127382321430029,0.757513818517252,0.7111590022187594,1.0,0.7162966979682651,0.9562875286431503,,0.6731327304550295,0.6433679432700389,0.6433679432700389
has_premise,0.05275620314933123,-0.6892670673418867,0.8823201474995889,-0.1554473531413843,0.20851441405707477,0.2106079428305753,0.8706183237411858,0.6184106639132761,0.6313087395543334,0.7162966979682651,1.0,0.6666699016484658,,0.7115887944763203,0.8468052684984614,0.8468052684984614
has_reasoning_steps,0.45967483300366246,-0.9510644551558418,0.9020131369100055,-0.09172492321316796,0.23904572186687872,0.12680971171040223,0.8783557081261346,0.8357661056711411,0.7237468644557457,0.9562875286431503,0.6666699016484658,1.0,,0.7007356199743617,0.7137533077039344,0.7137533077039344
keyword_coverage,,,,,,,,,,,,,,,,
reasoning_keyword_count,0.16922737914452435,-0.6806756514418575,0.8095820575811705,-0.11703791573216944,-0.1487569731465532,0.29298733159662715,0.6763190290421287,0.7796122073936259,0.7418091098709246,0.6731327304550295,0.7115887944763203,0.7007356199743617,,1.0,0.7445663106432345,0.7445663106432345
sentence_count,0.12478216046745619,-0.6093912558539625,0.8564534349779459,0.11544608827943159,0.29229334867330986,-0.004527041546941358,0.7866295672817771,0.7806275753787957,0.694490093923271,0.6433679432700389,0.8468052684984614,0.7137533077039344,,0.7445663106432345,1.0,1.0
step_count,0.12478216046745619,-0.6093912558539625,0.8564534349779459,0.11544608827943159,0.29229334867330986,-0.004527041546941358,0.7866295672817771,0.7806275753787957,0.694490093923271,0.6433679432700389,0.8468052684984614,0.7137533077039344,,0.7445663106432345,1.0,1.0
