指标,均值,标准差,最小值,最大值,中位数,变异系数
avg_sentence_length,2.101801437077652,1.1224331812702344,1.1,4.960047846889951,1.7977142857142856,0.5340338823018731
coherence_score,0.017936796883407848,0.028170767779267036,1.5100718516240547e-133,0.0812011699419676,3.1511529898599217e-16,1.5705573276199587
completeness_score,0.8272727272727273,0.20635362410633404,0.4199999999999999,1.0,0.86,0.24943844672194224
conclusion_correct,0.10909090909090909,0.13751033019046574,0.0,0.4,0.0,1.2605113600792694
conclusion_f1,0.018181818181818184,0.06030226891555272,0.0,0.2,0.0,3.3166247903553994
connector_density,0.21246840623371002,0.13518026330839808,0.0472222222222222,0.5079901960784314,0.1628105207266658,0.6362370090906745
depth_score,0.48824186608440656,0.14720782981814595,0.1938095238095237,0.6154968944099378,0.5599238095238095,0.3015059544129648
extraction_confidence,0.9290909090909092,0.07502726777039737,0.82,1.0,0.94,0.08075341932234549
has_conclusion,0.8,0.21908902300206645,0.4,1.0,0.8,0.27386127875258304
has_logical_connectors,0.8727272727272729,0.20538212722098817,0.4,1.0,1.0,0.23533368744071556
has_premise,0.8181818181818182,0.28919952219248846,0.2,1.0,1.0,0.3534660826797081
has_reasoning_steps,0.8545454545454546,0.20180999164380523,0.4,1.0,1.0,0.23616062851934652
keyword_coverage,0.0,0.0,0.0,0.0,0.0,
reasoning_keyword_count,2.4181818181818184,1.3782729641244378,0.4,4.6,2.2,0.5699625039612336
sentence_count,11.909090909090908,6.230482251873372,2.2,18.8,13.6,0.5231702654244816
step_count,11.909090909090908,6.230482251873372,2.2,18.8,13.6,0.5231702654244816
