指标,模型,值,索引
avg_sentence_length,gemma_4b_ol_q4km,4.960047846889951,3
avg_sentence_length,qwen25_7b_hf_4bit,3.464906832298136,8
coherence_score,gemma_2b_hf_4bit,0.0812011699419676,1
completeness_score,gemma_2b_hf_4bit,0.4599999999999999,1
completeness_score,gemma_2b_hf_8bit,0.4199999999999999,2
conclusion_f1,qwen25_3b_hf_4bit,0.2,6
connector_density,qwen_8b_ol_q4km,0.5079901960784314,10
depth_score,gemma_2b_hf_4bit,0.2038095238095237,1
depth_score,gemma_2b_hf_8bit,0.1938095238095237,2
has_logical_connectors,gemma_2b_hf_4bit,0.4,1
has_premise,gemma_2b_hf_8bit,0.2,2
has_reasoning_steps,gemma_2b_hf_4bit,0.4,1
