指标,均值,标准差,最小值,最大值,中位数,变异系数
bartscore_avg,-3.2381157365712254,0.5277263800813718,-3.8833863735198975,-2.4014843702316284,-3.290223169326782,0.16297329157239157
bartscore_faith,-3.1674593166871503,0.5207771876574083,-3.768731832504273,-2.3698975801467896,-3.318430089950561,0.16441479924108066
bartscore_info,-3.3087721564552997,0.5943392625297159,-4.092552900314331,-2.315632104873657,-3.290769338607788,0.17962532154720312
bertscore_f1,0.739317209070379,0.06995782210744511,0.655560314655304,0.8986430764198303,0.714720344543457,0.09462490694002701
bertscore_precision,0.7312661853703585,0.08085861316547069,0.6573028564453125,0.9343755841255188,0.7043586373329163,0.11057343383725432
bertscore_recall,0.7527010527524083,0.07623462455178417,0.6538269519805908,0.865543007850647,0.7385739207267761,0.10128141082441214
compliance_score,0.1285064935064935,0.21924137628665538,0.0,0.6807142857142858,0.0,1.706072357157399
compression_ratio,1.5154176348903619,0.8260733353731836,0.4675184987607045,2.9770766142643463,1.2487684081566184,0.5451126582890456
deviation,3.2649242424242426,2.342480000297429,0.3192857142857143,7.406666666666666,2.723095238095238,0.7174684085650059
in_range,0.018181818181818184,0.060302268915552716,0.0,0.2,0.0,3.316624790355399
information_density,0.02921616556341412,0.044464015277434064,0.0,0.1106600704798047,0.0,1.5218977035478616
length,280.1090909090909,150.92640229294182,87.4,541.6,239.8,0.5388129382131507
rouge_1_f1,0.033515606873019424,0.06302349598116189,0.0,0.1809523790839002,0.0,1.8804223423415545
rouge_1_precision,0.025516528925619827,0.050818109744327135,0.0,0.15,0.0,1.9915761227736308
rouge_1_recall,0.06363636363636363,0.097130548409568,0.0,0.2333333333333333,0.0,1.5263371892932116
rouge_2_f1,0.01636363620818182,0.03668043784758995,0.0,0.09999999925,0.0,2.241582334203307
rouge_2_precision,0.012121212121212109,0.026967994498529657,0.0,0.0666666666666666,0.0,2.224859546128699
rouge_2_recall,0.02727272727272728,0.06466697906828632,0.0,0.2,0.0,2.3711225658371644
rouge_l_f1,0.033515606873019424,0.06302349598116189,0.0,0.1809523790839002,0.0,1.8804223423415545
rouge_l_precision,0.025516528925619827,0.050818109744327135,0.0,0.15,0.0,1.9915761227736308
rouge_l_recall,0.06363636363636363,0.097130548409568,0.0,0.2333333333333333,0.0,1.5263371892932116
source_length,185.7818181818182,1.3753677194250162,183.0,186.4,186.4,0.007403134132743774
