指标,模型,值,索引
bertscore_f1,gemma_2b_hf_8bit,0.8986430764198303,2
bertscore_precision,gemma_2b_hf_8bit,0.9343755841255188,2
compliance_score,gemma_4b_ol_q4km,0.6807142857142858,3
in_range,phi3_4b_hf_8bit,0.2,5
rouge_1_f1,qwen25_3b_hf_4bit,0.1809523790839002,6
rouge_1_f1,qwen25_3b_hf_8bit,0.1333333324444444,7
rouge_1_precision,qwen25_3b_hf_4bit,0.15,6
rouge_1_precision,qwen25_3b_hf_8bit,0.1,7
rouge_2_f1,qwen25_3b_hf_4bit,0.07999999904,6
rouge_2_f1,qwen25_3b_hf_8bit,0.09999999925,7
rouge_2_precision,qwen25_3b_hf_4bit,0.0666666666666666,6
rouge_2_precision,qwen25_3b_hf_8bit,0.0666666666666666,7
rouge_2_recall,qwen25_3b_hf_4bit,0.1,6
rouge_2_recall,qwen25_3b_hf_8bit,0.2,7
rouge_l_f1,qwen25_3b_hf_4bit,0.1809523790839002,6
rouge_l_f1,qwen25_3b_hf_8bit,0.1333333324444444,7
rouge_l_precision,qwen25_3b_hf_4bit,0.15,6
rouge_l_precision,qwen25_3b_hf_8bit,0.1,7
source_length,gemma_2b_hf_4bit,183.0,1
source_length,gemma_2b_hf_8bit,183.0,2
