评分指标 \ 模型,bertscore_f1,bertscore_precision,bertscore_recall,bleu_1,bleu_2,bleu_4,chrf,edit_distance,edit_similarity,length_ratio,normalized_edit_distance
bertscore_f1,1.0,0.981767320187734,0.8809704189088843,0.9365711278152664,0.9370951013219834,0.9384185058081119,0.8457979386396405,,,-0.6869304268996516,
bertscore_precision,0.981767320187734,1.0,0.7758773350610977,0.92424185453529,0.9249849473884137,0.9267774334638565,0.8119313144329694,,,-0.7513171031924505,
bertscore_recall,0.8809704189088843,0.7758773350610977,1.0,0.8266378798655979,0.8266168050415286,0.8267730942023322,0.8095669364893954,,,-0.4335545743070423,
bleu_1,0.9365711278152664,0.92424185453529,0.8266378798655979,1.0,0.999990981875473,0.9999274683110858,0.9665695902010368,,,-0.6626489130031352,
bleu_2,0.9370951013219834,0.9249849473884137,0.8266168050415286,0.999990981875473,1.0,0.9999596368004141,0.9658571328483225,,,-0.6644927903311219,
bleu_4,0.9384185058081119,0.9267774334638565,0.8267730942023322,0.9999274683110858,0.9999596368004141,1.0,0.9647950130805115,,,-0.6685292863993265,
chrf,0.8457979386396405,0.8119313144329694,0.8095669364893954,0.9665695902010368,0.9658571328483225,0.9647950130805115,1.0,,,-0.5271817600452265,
edit_distance,,,,,,,,,,,
edit_similarity,,,,,,,,,,,
length_ratio,-0.6869304268996516,-0.7513171031924505,-0.4335545743070423,-0.6626489130031352,-0.6644927903311219,-0.6685292863993265,-0.5271817600452265,,,1.0,
normalized_edit_distance,,,,,,,,,,,
