评分指标 \ 模型,deepseek_8b_ol_q4km,gemma_2b_hf_4bit,gemma_2b_hf_8bit,gemma_4b_ol_q4km,phi3_4b_hf_4bit,phi3_4b_hf_8bit,qwen25_3b_hf_4bit,qwen25_3b_hf_8bit,qwen25_7b_hf_4bit,qwen25_7b_hf_8bit,qwen_4b_ol_q4km,qwen_8b_ol_q4km
code_length,3.4,2.6,3.8,20.0,5.8,5.0,9.8,11.0,17.4,15.6,2.2,10.8
code_simplicity,0.8088,0.8283,0.7923,0.498,0.7593,0.7831,0.735,0.6569,0.5373,0.5772,0.8567,0.5918
compilation_success,0.6,0.8,0.6,1.0,0.2,0.2,0.8,0.4,0.6,0.6,0.0,0.2
cyclomatic_complexity,2.2,2.6,3.2,5.8,3.2,2.4,3.8,5.0,6.2,5.8,1.6,17.0
efficiency_dimension,0.808,0.868,0.784,0.784,0.664,0.664,0.868,0.748,0.676,0.7,0.58,0.664
functional_correctness,0.4,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.4,0.2,0.0,0.0
functional_dimension,0.46,0.24,0.18,0.86,0.06,0.06,0.24,0.26,0.46,0.32,0.0,0.06
has_code,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
has_docstring,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.4,0.4,0.0,0.0
has_type_hints,0.2,0.0,0.0,0.6,0.2,0.2,0.2,0.2,0.6,0.4,0.4,0.8
nesting_depth,0.2,0.0,0.0,2.2,0.0,0.0,0.4,0.2,1.2,1.2,0.0,0.0
quality_dimension,0.8088,0.8283,0.7923,0.498,0.7593,0.7831,0.735,0.6569,0.5373,0.5772,0.8567,0.5918
readability_dimension,0.0958,0.28,0.18,0.5693,0.1,0.112,0.3041,0.1907,0.4046,0.3933,0.08,0.16
readability_score,0.0958,0.28,0.18,0.5693,0.1,0.112,0.3041,0.1907,0.4046,0.3933,0.08,0.16
space_complexity_score,0.82,0.82,0.76,0.88,0.76,0.76,0.88,0.82,0.76,0.76,0.7,0.76
test_pass_rate,0.6667,0.0,0.0,0.8,0.0,0.0,0.0,0.5,0.6667,0.3333,0.0,0.0
tests_passed,2.0,0.0,0.0,2.8,0.0,0.0,0.0,1.0,2.6667,1.0,0.0,0.0
tests_total,1.8,2.6,1.8,3.0,0.8,0.8,2.8,1.2,2.4,1.8,0.0,0.8
time_complexity_score,0.8,0.9,0.8,0.72,0.6,0.6,0.86,0.7,0.62,0.66,0.5,0.6
