评分指标 \ 模型,deepseek_8b_ol_q4km,gemma_2b_hf_4bit,gemma_2b_hf_8bit,gemma_4b_ol_q4km,phi3_4b_hf_4bit,phi3_4b_hf_8bit,qwen25_3b_hf_4bit,qwen25_3b_hf_8bit,qwen25_7b_hf_4bit,qwen25_7b_hf_8bit,qwen_4b_ol_q4km,qwen_8b_ol_q4km
code_length,3.4,2.6,3.8,20.0,5.8,5.0,9.8,11.0,17.4,15.6,2.2,10.8
code_simplicity,0.8088471401319698,0.8283333333333335,0.7922649572649574,0.49797708389171813,0.7592690058479532,0.7831112093960393,0.7349738562091502,0.6569076708731882,0.5372834010861276,0.5772050172050173,0.8566526610644258,0.5917609286138698
compilation_success,0.6,0.8,0.6,1.0,0.2,0.2,0.8,0.4,0.6,0.6,0.0,0.2
cyclomatic_complexity,2.2,2.6,3.2,5.8,3.2,2.4,3.8,5.0,6.2,5.8,1.6,17.0
efficiency_dimension,0.808,0.868,0.784,0.784,0.664,0.664,0.868,0.748,0.676,0.7,0.58,0.664
functional_correctness,0.4,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.4,0.2,0.0,0.0
functional_dimension,0.45999999999999996,0.24,0.18,0.86,0.06,0.06,0.24,0.26,0.45999999999999996,0.32,0.0,0.06
has_code,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
has_docstring,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.4,0.4,0.0,0.0
has_type_hints,0.2,0.0,0.0,0.6,0.2,0.2,0.2,0.2,0.6,0.4,0.4,0.8
nesting_depth,0.2,0.0,0.0,2.2,0.0,0.0,0.4,0.2,1.2,1.2,0.0,0.0
quality_dimension,0.8088471401319698,0.8283333333333335,0.7922649572649574,0.49797708389171813,0.7592690058479532,0.7831112093960393,0.7349738562091502,0.6569076708731882,0.5372834010861276,0.5772050172050173,0.8566526610644258,0.5917609286138698
readability_dimension,0.09582608695652174,0.28,0.18,0.5692546583850933,0.1,0.11200000000000002,0.3040952380952381,0.1907142857142857,0.4046031746031746,0.3932758620689655,0.08,0.16
readability_score,0.09582608695652174,0.28,0.18,0.5692546583850933,0.1,0.11200000000000002,0.3040952380952381,0.1907142857142857,0.4046031746031746,0.3932758620689655,0.08,0.16
space_complexity_score,0.82,0.8200000000000001,0.76,0.8800000000000001,0.76,0.76,0.8800000000000001,0.82,0.76,0.76,0.7,0.76
test_pass_rate,0.6666666666666666,0.0,0.0,0.8,0.0,0.0,0.0,0.5,0.6666666666666666,0.3333333333333333,0.0,0.0
tests_passed,2.0,0.0,0.0,2.8,0.0,0.0,0.0,1.0,2.6666666666666665,1.0,0.0,0.0
tests_total,1.8,2.6,1.8,3.0,0.8,0.8,2.8,1.2,2.4,1.8,0.0,0.8
time_complexity_score,0.8,0.9,0.8,0.72,0.6,0.6,0.86,0.7,0.62,0.6599999999999999,0.5,0.6
