评分指标 \ 模型,deepseek_8b_ol_q4km,gemma_2b_hf_4bit,gemma_2b_hf_8bit,gemma_4b_ol_q4km,phi3_4b_hf_4bit,phi3_4b_hf_8bit,qwen25_3b_hf_4bit,qwen25_3b_hf_8bit,qwen25_7b_hf_4bit,qwen25_7b_hf_8bit,qwen_4b_ol_q4km,qwen_8b_ol_q4km
avg_sentence_length,33.616,79.356,35.936,31.3,47.582,26.994,28.488,39.83,68.656,5.734,33.276,54.506
distinct_1,0.6043,0.5203,0.5457,0.6573,0.5426,0.6163,0.3655,0.3912,0.3964,0.0407,0.408,0.7652
distinct_2,0.8986,0.7027,0.8107,0.917,0.8323,0.8801,0.6883,0.7105,0.6858,0.068,0.7832,0.9605
metaphor_count,1.0,1.0,3.0,1.0,1.0,1.0,6.0,3.0,5.0,2.0,4.0,0.0
parallelism_count,1.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,4.0,1.0,2.0,0.0
perplexity,33.75,69.5,19.03,13.0,41.22,37.02,4.84,3.98,4.25,188.44,8.46,19.62
personification_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
repetition_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sentence_count,14.0,3.0,5.0,7.0,8.0,9.0,29.0,20.0,26.0,5.0,24.0,3.0
text_length,361.0,139.0,162.6,220.4,352.8,265.2,781.6,768.0,817.2,154.8,700.0,120.2
token_count,321.0,68.0,137.0,185.0,282.0,237.0,706.0,692.0,621.0,119.0,575.0,106.0
total_rhetorical_devices,2.2,1.0,3.4,1.4,2.2,1.0,10.8,7.0,10.0,3.0,6.6,0.4
unique_token_ratio,0.6043,0.5203,0.5457,0.6573,0.5426,0.6163,0.3655,0.3912,0.3964,0.0407,0.408,0.7652
