评分指标 \ 模型,deepseek_8b_ol_q4km,gemma_2b_hf_4bit,gemma_2b_hf_8bit,gemma_4b_ol_q4km,phi3_4b_hf_4bit,phi3_4b_hf_8bit,qwen25_3b_hf_4bit,qwen25_3b_hf_8bit,qwen25_7b_hf_4bit,qwen25_7b_hf_8bit,qwen_4b_ol_q4km,qwen_8b_ol_q4km
avg_sentence_length,33.616,79.356,35.93599999999999,31.3,47.582,26.994,28.488,39.83,68.65599999999999,5.734,33.275999999999996,54.50599999999999
distinct_1,0.60434,0.52028,0.54566,0.6572600000000001,0.5425800000000001,0.6163000000000001,0.36550000000000005,0.39116,0.39638,0.04068,0.40804,0.7651600000000001
distinct_2,0.8986000000000001,0.70274,0.81074,0.9170400000000001,0.8322799999999999,0.88006,0.68826,0.7104999999999999,0.68584,0.06802,0.78324,0.9605
metaphor_count,1.2,0.6,3.0,0.8,1.4,0.8,6.4,3.4,5.4,1.8,3.8,0.2
parallelism_count,1.0,0.4,0.4,0.4,0.8,0.2,4.0,2.8,3.8,1.2,2.4,0.0
perplexity,33.74581508636474,69.4981294631958,19.028291320800783,13.004473304748535,41.22189712524414,37.01507225036621,4.835497856140137,3.9826478004455566,4.24814088344574,188.44116821289063,8.456288051605224,19.62138977050781
personification_count,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.8,0.8,0.0,0.4,0.2
repetition_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sentence_count,13.8,3.2,5.0,7.2,8.2,9.2,29.0,19.8,26.2,5.4,24.4,2.8
text_length,361.0,139.0,162.6,220.4,352.8,265.2,781.6,768.0,817.2,154.8,700.0,120.2
token_count,321.2,67.6,136.8,185.4,281.6,237.2,705.6,691.8,621.0,119.0,574.8,106.4
total_rhetorical_devices,2.2,1.0,3.4,1.4,2.2,1.0,10.8,7.0,10.0,3.0,6.6,0.4
unique_token_ratio,0.60434,0.52028,0.54566,0.6572600000000001,0.5425800000000001,0.6163000000000001,0.36550000000000005,0.39116,0.39638,0.04068,0.40804,0.7651600000000001
