评分指标 \ 模型,deepseek_8b_ol_q4km,gemma_2b_hf_4bit,gemma_2b_hf_8bit,gemma_4b_ol_q4km,phi3_4b_hf_4bit,phi3_4b_hf_8bit,qwen25_3b_hf_4bit,qwen25_3b_hf_8bit,qwen25_7b_hf_4bit,qwen_4b_ol_q4km,qwen_8b_ol_q4km
exact_match,0.4,0.5,0.5,0.2,0.8,1.0,0.8,0.8,0.8,0.6,0.2
extracted_answer,88.2,112.25,103.75,73.84,48.8,48.4,44.8,44.4,90.4,39.25,31.2
extraction_confidence,0.54,0.2,0.2,0.58,0.34,0.28,0.58,0.4,0.34,0.32,0.52
has_answer,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0
has_calculation,0.8,0.5,0.5,0.8,0.4,0.6,1.0,1.0,0.4,0.4,0.6
has_reasoning,1.0,1.0,1.0,1.0,0.8,0.6,1.0,1.0,1.0,0.8,1.0
numerical_match,0.4,0.5,0.5,0.2,0.8,1.0,0.8,0.8,0.8,0.6,0.2
reference_answer,48.4,59.25,59.25,48.4,48.4,48.4,48.4,48.4,48.4,48.4,48.4
step_count,20.0,6.0,5.0,16.0,6.0,6.0,20.0,18.0,22.0,17.0,28.0
text_length,1085.2,281.5,243.5,814.0,395.2,354.4,1291.4,1319.2,1622.4,740.8,1426.4
