评分指标 \ 模型,deepseek_8b_ol_q4km,gemma_2b_hf_4bit,gemma_2b_hf_8bit,gemma_4b_ol_q4km,phi3_4b_hf_4bit,phi3_4b_hf_8bit,qwen25_3b_hf_4bit,qwen25_3b_hf_8bit,qwen25_7b_hf_4bit,qwen_4b_ol_q4km,qwen_8b_ol_q4km
answer_length,1075.6,417.0,476.0,1066.4,794.4,862.8,1037.4,1010.4,1059.6,1071.2,1033.2
avg_paragraph_length,228.8333,104.0767,106.6186,185.84,227.5333,221.9548,212.4067,213.819,191.1186,206.8705,288.9833
certainty_count,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confidence_score,0.32,0.56,0.52,0.56,0.52,0.54,0.54,0.52,0.54,0.3,0.38
has_answer,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
has_conclusion,0.0,0.6,0.4,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0
has_enumeration,0.8,0.6,0.4,0.4,0.6,0.6,0.6,0.4,0.4,0.8,1.0
has_examples,0.2,0.2,0.0,0.2,0.6,0.6,0.0,0.2,0.0,0.2,0.2
has_reasoning,1.0,1.0,0.8,1.0,1.0,1.0,0.8,0.6,1.0,1.0,1.0
paragraph_count,5.0,4.0,4.0,6.0,4.0,4.0,5.0,5.0,6.0,5.0,4.0
reasoning_steps,13.4,5.0,4.0,10.8,5.6,6.8,11.4,12.4,14.6,15.4,14.0
technical_term_count,21.0,11.0,11.0,16.0,21.0,24.0,17.0,21.0,17.0,15.0,15.0
technical_term_density,0.3635,0.4804,0.5298,0.3133,0.5367,0.5366,0.3365,0.4038,0.3189,0.27,0.2905
uncertainty_count,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
