评分指标 \ 模型,deepseek_8b_ol_q4km,gemma_2b_hf_4bit,gemma_2b_hf_8bit,gemma_4b_ol_q4km,phi3_4b_hf_4bit,phi3_4b_hf_8bit,qwen25_3b_hf_4bit,qwen25_3b_hf_8bit,qwen25_7b_hf_4bit,qwen_4b_ol_q4km,qwen_8b_ol_q4km
answer_length,1075.6,417.0,476.0,1066.4,794.4,862.8,1037.4,1010.4,1059.6,1071.2,1033.2
avg_paragraph_length,228.83333333333331,104.07666666666668,106.61857142857143,185.84,227.53333333333336,221.95476190476194,212.40666666666667,213.8190476190476,191.1185714285714,206.87047619047615,288.98333333333335
certainty_count,0.6,0.4,0.0,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.0
confidence_score,0.31999999999999995,0.5599999999999999,0.52,0.5599999999999999,0.52,0.54,0.54,0.52,0.54,0.3,0.38
has_answer,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
has_conclusion,0.0,0.6,0.4,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0
has_enumeration,0.8,0.6,0.4,0.4,0.6,0.6,0.6,0.4,0.4,0.8,1.0
has_examples,0.2,0.2,0.0,0.2,0.6,0.6,0.0,0.2,0.0,0.2,0.2
has_reasoning,1.0,1.0,0.8,1.0,1.0,1.0,0.8,0.6,1.0,1.0,1.0
paragraph_count,5.2,4.2,4.4,5.8,3.6,4.0,4.8,5.0,5.8,5.4,3.6
reasoning_steps,13.4,5.0,4.0,10.8,5.6,6.8,11.4,12.4,14.6,15.4,14.0
technical_term_count,20.8,10.8,11.4,15.6,20.6,23.6,16.8,21.4,17.2,14.6,15.2
technical_term_density,0.3635231211268334,0.480350123919416,0.5297511378223829,0.3133365124250066,0.5367074287798781,0.5365750731669906,0.3365223208875644,0.40381247446046586,0.3189203227671952,0.2699692747422794,0.2904828156329521
uncertainty_count,1.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.0
