评分指标 \ 模型,deepseek_8b_ol_q4km,gemma_2b_hf_4bit,gemma_2b_hf_8bit,gemma_4b_ol_q4km,phi3_4b_hf_4bit,phi3_4b_hf_8bit,qwen25_3b_hf_4bit,qwen25_3b_hf_8bit,qwen25_7b_hf_4bit,qwen_4b_ol_q4km,qwen_8b_ol_q4km
avg_sentence_length,1.6489,1.4,1.1,4.96,1.8994,1.6417,1.8984,1.8579,3.4649,1.7977,1.4509
coherence_score,0.0,0.0812,0.0541,0.0,0.0,0.0,0.0,0.0349,0.0,0.0,0.0271
completeness_score,1.0,0.46,0.42,0.88,0.86,0.82,1.0,0.8,1.0,1.0,0.86
conclusion_correct,0.2,0.2,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0
conclusion_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
connector_density,0.1547,0.0472,0.2586,0.0876,0.2515,0.3617,0.1291,0.1084,0.1628,0.2674,0.508
depth_score,0.555,0.2038,0.1938,0.5653,0.5633,0.5119,0.5633,0.5619,0.6155,0.5599,0.4769
extraction_confidence,1.0,0.82,0.82,1.0,0.88,0.88,1.0,0.88,1.0,1.0,0.94
has_conclusion,1.0,0.6,0.4,1.0,0.8,0.6,1.0,0.6,1.0,1.0,0.8
has_logical_connectors,1.0,0.4,0.6,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.8
has_premise,1.0,0.4,0.2,0.6,1.0,0.8,1.0,1.0,1.0,1.0,1.0
has_reasoning_steps,1.0,0.4,0.6,1.0,0.8,1.0,1.0,0.8,1.0,1.0,0.8
keyword_coverage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reasoning_keyword_count,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0
sentence_count,18.0,2.0,2.0,10.0,8.0,8.0,17.0,18.0,15.0,19.0,14.0
step_count,18.0,2.0,2.0,10.0,8.0,8.0,17.0,18.0,15.0,19.0,14.0
