model,weighted_quality,quality_normalized,avg_correctness,avg_completeness,avg_rigor,avg_clarity,avg_efficiency
qwen25_7b_hf_4bit,4.382268794958636,1.0,4.2,4.8,4.6,4.6,3.6
deepseek_8b_ol_q4km,4.1962186903187515,0.8956567259023324,3.8,5.0,4.6,4.2,3.4
qwen25_3b_hf_4bit,4.16297617528925,0.8770131843459709,3.8,4.8,4.2,4.2,3.8
gemma_4b_ol_q4km,4.1845837387542595,0.8891314463677858,4.0,4.4,4.0,4.4,4.0
qwen_4b_ol_q4km,3.6155876305254107,0.5700189309712136,3.4,5.0,4.4,3.4,2.0
qwen_8b_ol_q4km,3.6155876305254107,0.5700189309712136,3.4,5.0,4.4,3.4,2.0
qwen25_3b_hf_8bit,3.5091650123338,0.5103334798845167,3.4,4.0,3.6,3.4,3.2
phi3_4b_hf_8bit,2.8686954409375347,0.15113619714840196,2.6,3.4,2.8,2.4,3.4
phi3_4b_hf_4bit,2.7980079736338492,0.11149224322311509,2.6,3.2,2.6,2.4,3.4
gemma_2b_hf_8bit,2.691078423166834,0.05152248714522307,2.4,2.0,1.8,2.8,4.4
gemma_2b_hf_4bit,2.599210842744704,0.0,2.2,2.0,1.6,2.6,4.6
