评分指标 \ 模型,deepseek_8b_ol_q4km,gemma_2b_hf_4bit,gemma_2b_hf_8bit,gemma_4b_ol_q4km,phi3_4b_hf_4bit,phi3_4b_hf_8bit,qwen25_3b_hf_4bit,qwen25_3b_hf_8bit,qwen25_7b_hf_4bit,qwen_4b_ol_q4km,qwen_8b_ol_q4km
avg_sentence_length,1.6488888888888886,1.4,1.1,4.960047846889951,1.8993506493506493,1.6416666666666668,1.89841628959276,1.8578984225269053,3.4649068322981362,1.7977142857142856,1.450925925925926
coherence_score,3.1511529898599217e-16,0.08120116994196762,0.054134113294645084,3.899560900365587e-10,1.5100718516240547e-133,3.3503589664529376e-34,4.377470995521273e-37,0.034902425443594884,1.3564278077002987e-26,2.7590258002874082e-58,0.027067056647322542
completeness_score,1.0,0.45999999999999996,0.41999999999999993,0.8800000000000001,0.86,0.8200000000000001,1.0,0.8,1.0,1.0,0.86
conclusion_correct,0.2,0.2,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0
conclusion_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
connector_density,0.15470783696590146,0.04722222222222222,0.2585858585858586,0.0876381461675579,0.2515204678362573,0.3617216117216117,0.12914230019493173,0.10842514068320519,0.16281052072666588,0.2673881673881674,0.5079901960784314
depth_score,0.554962962962963,0.20380952380952375,0.19380952380952374,0.565334928229665,0.5633116883116883,0.5118650793650794,0.5632805429864254,0.5619299474175634,0.6154968944099378,0.5599238095238095,0.4769356261022928
extraction_confidence,1.0,0.82,0.82,1.0,0.8800000000000001,0.8800000000000001,1.0,0.8800000000000001,1.0,1.0,0.9400000000000001
has_conclusion,1.0,0.6,0.4,1.0,0.8,0.6,1.0,0.6,1.0,1.0,0.8
has_logical_connectors,1.0,0.4,0.6,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.8
has_premise,1.0,0.4,0.2,0.6,1.0,0.8,1.0,1.0,1.0,1.0,1.0
has_reasoning_steps,1.0,0.4,0.6,1.0,0.8,1.0,1.0,0.8,1.0,1.0,0.8
keyword_coverage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reasoning_keyword_count,4.6,0.4,0.6,2.2,2.2,2.0,1.8,1.6,3.6,4.2,3.4
sentence_count,18.4,2.2,2.2,9.8,8.2,7.8,17.4,17.6,15.0,18.8,13.6
step_count,18.4,2.2,2.2,9.8,8.2,7.8,17.4,17.6,15.0,18.8,13.6
