评分指标 \ 模型,deepseek_8b_ol_q4km,gemma_2b_hf_4bit,gemma_2b_hf_8bit,gemma_4b_ol_q4km,phi3_4b_hf_4bit,phi3_4b_hf_8bit,qwen25_3b_hf_4bit,qwen25_3b_hf_8bit,qwen25_7b_hf_4bit,qwen_4b_ol_q4km,qwen_8b_ol_q4km
bartscore_avg,-3.4741,-3.8834,-2.4015,-3.2416,-3.8789,-3.8503,-2.503,-2.891,-3.2902,-2.8505,-3.3548
bartscore_faith,-3.2861,-3.7687,-2.4873,-3.3769,-3.6653,-3.7356,-2.3699,-3.1043,-3.3193,-2.4102,-3.3184
bartscore_info,-3.662,-3.998,-2.3156,-3.1063,-4.0926,-3.9651,-2.6361,-2.6777,-3.2611,-3.2908,-3.3912
bertscore_f1,0.7047,0.6556,0.8986,0.7747,0.6827,0.6799,0.776,0.7147,0.7111,0.8062,0.7283
bertscore_precision,0.6601,0.6573,0.9344,0.8146,0.6897,0.6921,0.7158,0.7044,0.6882,0.7553,0.732
bertscore_recall,0.7561,0.6538,0.8655,0.7386,0.6763,0.6713,0.8492,0.7294,0.7399,0.8649,0.7347
compliance_score,0.0,0.0,0.0,0.6807,0.1743,0.2,0.0,0.0,0.0,0.0,0.3586
compression_ratio,2.1476,0.8634,0.8142,0.4675,0.8419,0.8194,2.9771,2.2198,2.142,2.128,1.2488
deviation,5.0423,1.2571,1.1286,0.3193,1.3965,1.3867,7.4067,5.247,5.0285,4.9785,2.7231
in_range,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
information_density,0.0,0.0,0.0,0.0,0.0,0.0,0.1107,0.0974,0.079,0.0342,0.0
length,397.6,158.0,149.0,87.4,157.4,151.2,541.6,409.0,397.4,392.8,239.8
rouge_1_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.181,0.1333,0.0333,0.0211,0.0
rouge_1_precision,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,0.0182,0.0125,0.0
rouge_1_recall,0.0,0.0,0.0,0.0,0.0,0.0,0.2333,0.2,0.2,0.0667,0.0
rouge_2_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.0,0.0,0.0
rouge_2_precision,0.0,0.0,0.0,0.0,0.0,0.0,0.0667,0.0667,0.0,0.0,0.0
rouge_2_recall,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0
rouge_l_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.181,0.1333,0.0333,0.0211,0.0
rouge_l_precision,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,0.0182,0.0125,0.0
rouge_l_recall,0.0,0.0,0.0,0.0,0.0,0.0,0.2333,0.2,0.2,0.0667,0.0
source_length,186.4,183.0,183.0,186.4,186.4,186.4,186.4,186.4,186.4,186.4,186.4
