评分指标 \ 模型,deepseek_8b_ol_q4km,gemma_2b_hf_4bit,gemma_2b_hf_8bit,gemma_4b_ol_q4km,phi3_4b_hf_4bit,phi3_4b_hf_8bit,qwen25_3b_hf_4bit,qwen25_3b_hf_8bit,qwen25_7b_hf_4bit,qwen_4b_ol_q4km,qwen_8b_ol_q4km
bartscore_avg,-3.4740504741668703,-3.8833863735198975,-2.4014843702316284,-3.2415937423706054,-3.878926134109497,-3.8503443717956545,-2.503010904788971,-2.8909735918045043,-3.290223169326782,-2.8504727840423585,-3.354807186126709
bartscore_faith,-3.28609094619751,-3.768731832504273,-2.4873366355896,-3.3769028186798096,-3.6652993679046633,-3.7355997562408447,-2.3698975801467896,-3.1042777061462403,-3.3193095207214354,-2.410176229476929,-3.3184300899505614
bartscore_info,-3.6620100021362303,-3.9980409145355225,-2.315632104873657,-3.106284666061401,-4.092552900314331,-3.965088987350464,-2.6361242294311524,-2.6776694774627687,-3.2611368179321287,-3.290769338607788,-3.3911842823028566
bertscore_f1,0.7047282457351685,0.655560314655304,0.8986430764198303,0.7746533513069153,0.6826611280441284,0.679861581325531,0.776035487651825,0.714720344543457,0.7110785961151123,0.8062435865402222,0.728303587436676
bertscore_precision,0.6601236581802368,0.6573028564453125,0.9343755841255188,0.814613425731659,0.6897494792938232,0.6921418190002442,0.7157793283462525,0.7043586373329163,0.6882195472717285,0.7552955865859985,0.7319681167602539
bertscore_recall,0.7561146736145019,0.6538269519805908,0.865543007850647,0.7385739207267761,0.6763306140899659,0.6712787032127381,0.8492260456085206,0.7293609380722046,0.7398873448371888,0.8648798108100891,0.7346895694732666
compliance_score,0.0,0.0,0.0,0.6807142857142858,0.1742857142857143,0.2,0.0,0.0,0.0,0.0,0.35857142857142854
compression_ratio,2.1475505366012184,0.8633879781420765,0.8142076502732241,0.4675184987607045,0.8419425290664574,0.8194195822317676,2.9770766142643463,2.219783557937851,2.1419737295820775,2.1279648987776385,1.2487684081566184
deviation,5.042261904761905,1.2571428571428571,1.1285714285714286,0.3192857142857143,1.3965476190476191,1.3866666666666667,7.406666666666666,5.247023809523808,5.0284523809523805,4.9784523809523815,2.723095238095238
in_range,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
information_density,0.0,0.0,0.0,0.0,0.0,0.0,0.11066007047980479,0.09743589743589742,0.07904761904761905,0.03423423423423422,0.0
length,397.6,158.0,149.0,87.4,157.4,151.2,541.6,409.0,397.4,392.8,239.8
rouge_1_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.18095237908390024,0.13333333244444445,0.03333333302777778,0.02105263104709142,0.0
rouge_1_precision,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,0.01818181818181818,0.0125,0.0
rouge_1_recall,0.0,0.0,0.0,0.0,0.0,0.0,0.2333333333333333,0.2,0.2,0.06666666666666667,0.0
rouge_2_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.07999999904,0.09999999925000001,0.0,0.0,0.0
rouge_2_precision,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0
rouge_2_recall,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0
rouge_l_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.18095237908390024,0.13333333244444445,0.03333333302777778,0.02105263104709142,0.0
rouge_l_precision,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,0.01818181818181818,0.0125,0.0
rouge_l_recall,0.0,0.0,0.0,0.0,0.0,0.0,0.2333333333333333,0.2,0.2,0.06666666666666667,0.0
source_length,186.4,183.0,183.0,186.4,186.4,186.4,186.4,186.4,186.4,186.4,186.4
