评分指标 \ 模型,deepseek_8b_ol_q4km,gemma_2b_hf_4bit,gemma_2b_hf_8bit,gemma_4b_ol_q4km,phi3_4b_hf_4bit,phi3_4b_hf_8bit,qwen25_3b_hf_4bit,qwen25_3b_hf_8bit,qwen25_7b_hf_4bit,qwen_4b_ol_q4km,qwen_8b_ol_q4km
bertscore_f1,0.8845,0.608,0.6037,0.5302,0.6452,0.6319,0.5856,0.6164,0.551,0.5518,0.5627
bertscore_precision,0.8689,0.5694,0.5564,0.4472,0.5481,0.531,0.5084,0.5281,0.4495,0.4822,0.49
bertscore_recall,0.9048,0.6539,0.6602,0.6526,0.7887,0.7828,0.6924,0.7418,0.7152,0.6449,0.6615
bleu_1,0.6895,0.0,0.0,0.0351,0.1331,0.0279,0.0251,0.0267,0.0286,0.0195,0.023
bleu_2,0.6428,0.0,0.0,0.0305,0.1234,0.0252,0.0218,0.0226,0.0264,0.0168,0.0202
bleu_4,0.5407,0.0,0.0,0.023,0.1008,0.0197,0.0171,0.0167,0.0216,0.0107,0.0128
chrf,0.5173,0.0,0.0,0.1376,0.1206,0.1015,0.0872,0.0776,0.1093,0.0824,0.0865
edit_distance,,,,,,,,,,,
edit_similarity,,,,,,,,,,,
length_ratio,2.7765,10.7983,11.7638,15.6393,16.8894,22.3652,25.313,26.1054,22.8124,26.9128,26.1353
normalized_edit_distance,,,,,,,,,,,
