任务,模型,样本量,均值,标准差,中位数,最小值,最大值
code,deepseek-r1:8b,5,1405.1999044624092,172.72300696132902,1387.42099122417,1227.8423734190465,1591.8957649914028
code,gemma3:4b,5,336.90995511996744,75.1952075264499,298.219483610034,280.38100580418114,456.16165065455436
code,google--gemma-2b-it:4bit,5,597.5675475588798,229.40469459232605,592.8439809533357,267.8857099246979,881.2742751357556
code,google--gemma-2b-it:8bit,5,755.4431800675153,99.23293138160629,747.7752939240931,637.5675092022418,904.4317290388345
code,microsoft--phi-3-mini-4k-instruct:4bit,5,604.1422390583515,637.1177499509316,340.7876995862722,246.72551230466365,1740.6594722994566
code,microsoft--phi-3-mini-4k-instruct:8bit,5,1022.970055338049,987.1683940848098,354.23020067977905,232.47247146630286,2175.347521340847
code,qwen--qwen2.5-3b-instruct:4bit,5,1426.5761693761824,506.7993479445667,1329.4739600282905,1034.480584100008,2287.013220995903
code,qwen--qwen2.5-3b-instruct:8bit,5,2056.7373657286166,618.9122989204956,1893.4274052922726,1570.6865099028348,3105.312289617777
code,qwen--qwen2.5-7b-instruct:4bit,5,2767.821266630936,1246.972186173853,2502.8016901273722,1917.671465949893,4929.718513014794
code,qwen3:4b,5,974.7767241608857,420.30499464486763,881.8842098363638,691.8272253096103,1708.819308520794
code,qwen3:8b,5,1630.8066353150846,496.6219122403992,1586.5242776863574,1246.0434789938927,2465.1243866301775
