模型,样本量,均值,标准差,中位数
deepseek-r1:8b,40,868.2155726967543,496.1296758394046,682.482410519421
google--gemma-2b-it:4bit,40,225.26913245294094,246.99448374232722,118.71456119060515
google--gemma-2b-it:8bit,40,356.1502615651995,356.89016458206675,202.52585372179743
gemma3:4b,40,358.8521907408327,299.65169535496875,288.2604080318212
microsoft--phi-3-mini-4k-instruct:4bit,40,641.0190976639718,490.6056387535856,488.4856099791526
microsoft--phi-3-mini-4k-instruct:8bit,40,808.8722554605454,671.4938879629865,608.0798692241908
qwen3:4b,40,524.3222560072452,355.5386567687716,414.1400393566489
qwen3:8b,40,906.471901829329,559.856283319849,704.5550173177719
qwen--qwen2.5-3b-instruct:4bit,40,770.5389573798716,501.85519651524197,609.2908485231994
qwen--qwen2.5-3b-instruct:8bit,40,1187.3561225149422,731.8343768047458,962.5977589365244
qwen--qwen2.5-7b-instruct:4bit,40,1523.9808611763297,1005.3159635413176,1206.214139613211
