任务,模型,样本量,均值,标准差,中位数,最小值,最大值
qa,deepseek-r1:8b,5,454.6893629753828,123.63841480729997,367.0184295779466,363.6952183983326,613.2309931582213
qa,gemma3:4b,5,313.7170852800369,74.8886892989421,263.2406986509562,256.5099049224853,404.340384137392
qa,google--gemma-2b-it:4bit,5,136.7951804397106,73.29096682204754,116.15073667335508,72.36951903665066,260.17839717793464
qa,google--gemma-2b-it:8bit,5,232.9775873328686,118.99534434988871,198.5626207950115,118.29395821034907,433.07539658963685
qa,microsoft--phi-3-mini-4k-instruct:4bit,5,314.21940738337037,58.39746052687216,305.66361009657385,263.3604029700756,403.8094938670397
qa,microsoft--phi-3-mini-4k-instruct:8bit,5,426.93364223206044,125.0234608409162,393.62787111747264,320.37620432925223,638.2508762489557
qa,qwen--qwen2.5-3b-instruct:4bit,5,363.10897102313044,90.61913155520514,306.026767701745,287.0510424281359,470.05179316115385
qa,qwen--qwen2.5-3b-instruct:8bit,5,578.5527097767591,129.42592982433752,488.27418567764755,475.9358340792656,723.7484980813265
qa,qwen--qwen2.5-7b-instruct:4bit,5,732.2673434552909,176.13198692648035,648.6755778305532,570.2860129457713,954.1819519211055
qa,qwen3:4b,5,247.09771262762547,55.449830774687975,223.08966400170326,196.4185452209711,311.8337175974846
qa,qwen3:8b,5,461.49431701507575,106.49674495125815,435.02456969165803,354.39265823245046,577.3984833703042
