任务,模型,样本量,均值,标准差,中位数,最小值,最大值
reasoning,deepseek-r1:8b,5,792.3026168684244,229.6982938144811,761.9886030586958,614.711220369935,1182.653650460124
reasoning,gemma3:4b,5,340.8550288916588,227.4687165764693,261.55831156265737,61.86299854278564,636.9637285810709
reasoning,google--gemma-2b-it:4bit,5,58.13434987182617,28.090959344702643,53.97552891325951,22.599244846105574,100.04287986552714
reasoning,google--gemma-2b-it:8bit,5,95.05725156223772,104.16541400978416,44.71520395648479,21.173607328414917,267.9168231590986
reasoning,microsoft--phi-3-mini-4k-instruct:4bit,5,731.3263313687086,249.71420052464012,685.8365213617086,537.967687280774,1146.5235485268831
reasoning,microsoft--phi-3-mini-4k-instruct:8bit,5,901.9001168470382,293.87055408344463,858.6287826905251,670.8860708472729,1389.8534933888914
reasoning,qwen--qwen2.5-3b-instruct:4bit,5,643.1952661739826,191.14902911703552,620.739833894372,486.3272506796121,961.8135800204276
reasoning,qwen--qwen2.5-3b-instruct:8bit,5,996.9732024443863,275.2236447747204,962.8854913089276,780.2265670087338,1453.8310341788529
reasoning,qwen--qwen2.5-7b-instruct:4bit,5,1267.8818632812258,351.6050542885644,1199.539690443277,967.684399704337,1856.2028949217795
reasoning,qwen3:4b,5,428.4106168381692,135.96325272324714,415.6732325561046,316.8404408413172,652.7939181374311
reasoning,qwen3:8b,5,791.1814830779552,232.44240423897958,760.8188826459647,607.0531503506899,1186.222803497195
