任务,模型,样本量,均值,标准差,中位数,最小值,最大值
translation,deepseek-r1:8b,5,493.4708130414724,55.76912761146319,458.329158739686,448.6423086370229,556.5276129114627
translation,gemma3:4b,5,319.03479119195947,86.6607338281815,370.8741523977518,174.8885585371256,377.8057675330639
translation,google--gemma-2b-it:4bit,5,170.5762600324869,117.52524830154991,178.88224507200718,35.170524345636366,297.41682756304743
translation,google--gemma-2b-it:8bit,5,299.7631403900624,131.00529085274076,291.88099159228807,127.13611621296405,480.82005990362165
translation,microsoft--phi-3-mini-4k-instruct:4bit,5,468.534309852004,50.24042481347955,488.7004109616279,378.94847917079926,497.86855000174046
translation,microsoft--phi-3-mini-4k-instruct:8bit,5,593.1137879688024,55.131890316054196,608.4792521311045,496.34855577898026,634.0461516872645
translation,qwen--qwen2.5-3b-instruct:4bit,5,436.90222290723324,46.55726592179802,454.1078212110996,355.6745027561188,474.0797217199802
translation,qwen--qwen2.5-3b-instruct:8bit,5,694.5230122847081,69.4195542775568,717.0792564296723,571.6411843363046,738.8400528085232
translation,qwen--qwen2.5-7b-instruct:4bit,5,886.3113660883904,108.60011403533402,931.479503118634,701.6079939118624,974.8978428535462
translation,qwen3:4b,5,297.5647201788187,16.453969932121375,304.4462649439574,271.3748357886076,311.442675915122
translation,qwen3:8b,5,532.2190720459937,54.21590584632223,557.6821259256601,437.27180281877514,566.127653353095
