模型,code,creative,math,multi_turn,qa,reasoning,summary,translation
deepseek-r1:8b,1405.1999044624092,815.9732725259543,789.8264931917905,1755.2745104012968,454.6893629753828,792.3026168684244,438.98760810730454,493.4708130414724
gemma3:4b,336.90995511996744,195.90352504961493,346.8040997459888,945.8122606679917,313.71708528003694,340.8550288916588,71.78077997944355,319.0347911919594
google--gemma-2b-it:4bit,597.5675475588798,89.02937810506822,107.17122361803054,611.4642893908979,136.7951804397106,58.13434987182618,31.414830606627465,170.5762600324869
google--gemma-2b-it:8bit,755.4431800675153,225.76927521109582,144.96268514387606,1048.6864389327525,232.9775873328686,95.05725156223772,46.54253388118744,299.76314039006235
microsoft--phi-3-mini-4k-instruct:4bit,604.1422390583515,840.9297835720301,220.80086568458077,1564.597973065996,314.21940738337037,731.3263313687087,383.60187132673263,468.534309852004
microsoft--phi-3-mini-4k-instruct:8bit,1022.970055338049,840.7211581257343,245.0031303935766,1987.9318975857018,426.93364223206044,901.9001168470382,452.40425519340045,593.1137879688025
qwen--qwen2.5-3b-instruct:4bit,1426.5761693761826,745.9404990198135,635.9631941335201,1546.8454665736676,363.10897102313044,643.1952661739826,365.77986983144285,436.90222290723324
qwen--qwen2.5-3b-instruct:8bit,2056.7373657286166,1186.6725251203538,1004.9392396960259,2409.321511347437,578.5527097767591,996.9732024443865,571.1294137212515,694.5230122847081
qwen--qwen2.5-7b-instruct:4bit,2767.8212666309355,1513.8227501753804,1271.5747205120801,3052.1332363580705,732.2673434552909,1267.881863281226,700.0343429092645,886.3113660883904
qwen3:4b,974.7767241608857,519.7349371168136,428.18545018424993,1065.1694531396388,247.09771262762547,428.41061683816906,233.63843381175994,297.5647201788187
qwen3:8b,1630.8066353150846,852.5743601262093,791.2611164692164,1758.1294586513518,461.49431701507575,791.1814830779552,434.10877193374637,532.2190720459937
