任务,模型1,模型2,模型1均值,模型2均值,U统计量,p值,p值(校正),是否显著
code,deepseek-r1:8b,gemma3:4b,1405.1999044624092,336.90995511996744,25.0,0.007936507936507936,0.4365079365079365,否
code,deepseek-r1:8b,google--gemma-2b-it:4bit,1405.1999044624092,597.5675475588798,25.0,0.007936507936507936,0.4365079365079365,否
code,deepseek-r1:8b,google--gemma-2b-it:8bit,1405.1999044624092,755.4431800675153,25.0,0.007936507936507936,0.4365079365079365,否
code,deepseek-r1:8b,microsoft--phi-3-mini-4k-instruct:4bit,1405.1999044624092,604.1422390583515,20.0,0.15079365079365079,1.0,否
code,deepseek-r1:8b,microsoft--phi-3-mini-4k-instruct:8bit,1405.1999044624092,1022.970055338049,15.0,0.6904761904761905,1.0,否
code,deepseek-r1:8b,qwen--qwen2.5-3b-instruct:4bit,1405.1999044624092,1426.5761693761824,15.0,0.6904761904761905,1.0,否
code,deepseek-r1:8b,qwen--qwen2.5-3b-instruct:8bit,1405.1999044624092,2056.7373657286166,2.0,0.031746031746031744,1.0,否
code,deepseek-r1:8b,qwen--qwen2.5-7b-instruct:4bit,1405.1999044624092,2767.821266630936,0.0,0.007936507936507936,0.4365079365079365,否
code,deepseek-r1:8b,qwen3:4b,1405.1999044624092,974.7767241608857,20.0,0.15079365079365079,1.0,否
code,deepseek-r1:8b,qwen3:8b,1405.1999044624092,1630.8066353150846,8.0,0.42063492063492064,1.0,否
code,gemma3:4b,google--gemma-2b-it:4bit,336.90995511996744,597.5675475588798,5.0,0.15079365079365079,1.0,否
code,gemma3:4b,google--gemma-2b-it:8bit,336.90995511996744,755.4431800675153,0.0,0.007936507936507936,0.4365079365079365,否
code,gemma3:4b,microsoft--phi-3-mini-4k-instruct:4bit,336.90995511996744,604.1422390583515,10.0,0.6904761904761905,1.0,否
code,gemma3:4b,microsoft--phi-3-mini-4k-instruct:8bit,336.90995511996744,1022.970055338049,9.0,0.5476190476190477,1.0,否
code,gemma3:4b,qwen--qwen2.5-3b-instruct:4bit,336.90995511996744,1426.5761693761824,0.0,0.007936507936507936,0.4365079365079365,否
code,gemma3:4b,qwen--qwen2.5-3b-instruct:8bit,336.90995511996744,2056.7373657286166,0.0,0.007936507936507936,0.4365079365079365,否
code,gemma3:4b,qwen--qwen2.5-7b-instruct:4bit,336.90995511996744,2767.821266630936,0.0,0.007936507936507936,0.4365079365079365,否
code,gemma3:4b,qwen3:4b,336.90995511996744,974.7767241608857,0.0,0.007936507936507936,0.4365079365079365,否
code,gemma3:4b,qwen3:8b,336.90995511996744,1630.8066353150846,0.0,0.007936507936507936,0.4365079365079365,否
code,google--gemma-2b-it:4bit,google--gemma-2b-it:8bit,597.5675475588798,755.4431800675153,6.0,0.2222222222222222,1.0,否
code,google--gemma-2b-it:4bit,microsoft--phi-3-mini-4k-instruct:4bit,597.5675475588798,604.1422390583515,17.0,0.42063492063492064,1.0,否
code,google--gemma-2b-it:4bit,microsoft--phi-3-mini-4k-instruct:8bit,597.5675475588798,1022.970055338049,13.0,1.0,1.0,否
code,google--gemma-2b-it:4bit,qwen--qwen2.5-3b-instruct:4bit,597.5675475588798,1426.5761693761824,0.0,0.007936507936507936,0.4365079365079365,否
code,google--gemma-2b-it:4bit,qwen--qwen2.5-3b-instruct:8bit,597.5675475588798,2056.7373657286166,0.0,0.007936507936507936,0.4365079365079365,否
code,google--gemma-2b-it:4bit,qwen--qwen2.5-7b-instruct:4bit,597.5675475588798,2767.821266630936,0.0,0.007936507936507936,0.4365079365079365,否
code,google--gemma-2b-it:4bit,qwen3:4b,597.5675475588798,974.7767241608857,4.0,0.09523809523809523,1.0,否
code,google--gemma-2b-it:4bit,qwen3:8b,597.5675475588798,1630.8066353150846,0.0,0.007936507936507936,0.4365079365079365,否
code,google--gemma-2b-it:8bit,microsoft--phi-3-mini-4k-instruct:4bit,755.4431800675153,604.1422390583515,20.0,0.15079365079365079,1.0,否
code,google--gemma-2b-it:8bit,microsoft--phi-3-mini-4k-instruct:8bit,755.4431800675153,1022.970055338049,15.0,0.6904761904761905,1.0,否
code,google--gemma-2b-it:8bit,qwen--qwen2.5-3b-instruct:4bit,755.4431800675153,1426.5761693761824,0.0,0.007936507936507936,0.4365079365079365,否
code,google--gemma-2b-it:8bit,qwen--qwen2.5-3b-instruct:8bit,755.4431800675153,2056.7373657286166,0.0,0.007936507936507936,0.4365079365079365,否
code,google--gemma-2b-it:8bit,qwen--qwen2.5-7b-instruct:4bit,755.4431800675153,2767.821266630936,0.0,0.007936507936507936,0.4365079365079365,否
code,google--gemma-2b-it:8bit,qwen3:4b,755.4431800675153,974.7767241608857,9.0,0.5476190476190477,1.0,否
code,google--gemma-2b-it:8bit,qwen3:8b,755.4431800675153,1630.8066353150846,0.0,0.007936507936507936,0.4365079365079365,否
code,microsoft--phi-3-mini-4k-instruct:4bit,microsoft--phi-3-mini-4k-instruct:8bit,604.1422390583515,1022.970055338049,10.0,0.6904761904761905,1.0,否
code,microsoft--phi-3-mini-4k-instruct:4bit,qwen--qwen2.5-3b-instruct:4bit,604.1422390583515,1426.5761693761824,4.0,0.09523809523809523,1.0,否
code,microsoft--phi-3-mini-4k-instruct:4bit,qwen--qwen2.5-3b-instruct:8bit,604.1422390583515,2056.7373657286166,2.0,0.031746031746031744,1.0,否
code,microsoft--phi-3-mini-4k-instruct:4bit,qwen--qwen2.5-7b-instruct:4bit,604.1422390583515,2767.821266630936,0.0,0.007936507936507936,0.4365079365079365,否
code,microsoft--phi-3-mini-4k-instruct:4bit,qwen3:4b,604.1422390583515,974.7767241608857,5.0,0.15079365079365079,1.0,否
code,microsoft--phi-3-mini-4k-instruct:4bit,qwen3:8b,604.1422390583515,1630.8066353150846,4.0,0.09523809523809523,1.0,否
code,microsoft--phi-3-mini-4k-instruct:8bit,qwen--qwen2.5-3b-instruct:4bit,1022.970055338049,1426.5761693761824,8.0,0.42063492063492064,1.0,否
code,microsoft--phi-3-mini-4k-instruct:8bit,qwen--qwen2.5-3b-instruct:8bit,1022.970055338049,2056.7373657286166,7.0,0.30952380952380953,1.0,否
code,microsoft--phi-3-mini-4k-instruct:8bit,qwen--qwen2.5-7b-instruct:4bit,1022.970055338049,2767.821266630936,4.0,0.09523809523809523,1.0,否
code,microsoft--phi-3-mini-4k-instruct:8bit,qwen3:4b,1022.970055338049,974.7767241608857,10.0,0.6904761904761905,1.0,否
code,microsoft--phi-3-mini-4k-instruct:8bit,qwen3:8b,1022.970055338049,1630.8066353150846,8.0,0.42063492063492064,1.0,否
code,qwen--qwen2.5-3b-instruct:4bit,qwen--qwen2.5-3b-instruct:8bit,1426.5761693761824,2056.7373657286166,4.0,0.09523809523809523,1.0,否
code,qwen--qwen2.5-3b-instruct:4bit,qwen--qwen2.5-7b-instruct:4bit,1426.5761693761824,2767.821266630936,2.0,0.031746031746031744,1.0,否
code,qwen--qwen2.5-3b-instruct:4bit,qwen3:4b,1426.5761693761824,974.7767241608857,21.0,0.09523809523809523,1.0,否
code,qwen--qwen2.5-3b-instruct:4bit,qwen3:8b,1426.5761693761824,1630.8066353150846,8.0,0.42063492063492064,1.0,否
code,qwen--qwen2.5-3b-instruct:8bit,qwen--qwen2.5-7b-instruct:4bit,2056.7373657286166,2767.821266630936,6.0,0.2222222222222222,1.0,否
code,qwen--qwen2.5-3b-instruct:8bit,qwen3:4b,2056.7373657286166,974.7767241608857,23.0,0.031746031746031744,1.0,否
code,qwen--qwen2.5-3b-instruct:8bit,qwen3:8b,2056.7373657286166,1630.8066353150846,19.0,0.2222222222222222,1.0,否
code,qwen--qwen2.5-7b-instruct:4bit,qwen3:4b,2767.821266630936,974.7767241608857,25.0,0.007936507936507936,0.4365079365079365,否
code,qwen--qwen2.5-7b-instruct:4bit,qwen3:8b,2767.821266630936,1630.8066353150846,23.0,0.031746031746031744,1.0,否
code,qwen3:4b,qwen3:8b,974.7767241608857,1630.8066353150846,4.0,0.09523809523809523,1.0,否
