任务,模型1,模型2,模型1均值,模型2均值,U统计量,p值,p值(校正),是否显著
creative,deepseek-r1:8b,gemma3:4b,815.9732725259543,195.9035250496149,25.0,0.007936507936507936,0.4365079365079365,否
creative,deepseek-r1:8b,google--gemma-2b-it:4bit,815.9732725259543,89.02937810506822,25.0,0.007936507936507936,0.4365079365079365,否
creative,deepseek-r1:8b,google--gemma-2b-it:8bit,815.9732725259543,225.7692752110958,25.0,0.007936507936507936,0.4365079365079365,否
creative,deepseek-r1:8b,microsoft--phi-3-mini-4k-instruct:4bit,815.9732725259543,840.9297835720301,12.0,1.0,1.0,否
creative,deepseek-r1:8b,microsoft--phi-3-mini-4k-instruct:8bit,815.9732725259543,840.7211581257343,7.0,0.30952380952380953,1.0,否
creative,deepseek-r1:8b,qwen--qwen2.5-3b-instruct:4bit,815.9732725259543,745.9404990198134,17.0,0.42063492063492064,1.0,否
creative,deepseek-r1:8b,qwen--qwen2.5-3b-instruct:8bit,815.9732725259543,1186.6725251203538,1.0,0.015873015873015872,0.873015873015873,否
creative,deepseek-r1:8b,qwen--qwen2.5-7b-instruct:4bit,815.9732725259543,1513.8227501753806,0.0,0.007936507936507936,0.4365079365079365,否
creative,deepseek-r1:8b,qwen3:4b,815.9732725259543,519.7349371168136,25.0,0.007936507936507936,0.4365079365079365,否
creative,deepseek-r1:8b,qwen3:8b,815.9732725259543,852.5743601262093,9.0,0.5476190476190477,1.0,否
creative,gemma3:4b,google--gemma-2b-it:4bit,195.9035250496149,89.02937810506822,23.0,0.031746031746031744,1.0,否
creative,gemma3:4b,google--gemma-2b-it:8bit,195.9035250496149,225.7692752110958,13.0,1.0,1.0,否
creative,gemma3:4b,microsoft--phi-3-mini-4k-instruct:4bit,195.9035250496149,840.9297835720301,0.0,0.007936507936507936,0.4365079365079365,否
creative,gemma3:4b,microsoft--phi-3-mini-4k-instruct:8bit,195.9035250496149,840.7211581257343,4.0,0.09523809523809523,1.0,否
creative,gemma3:4b,qwen--qwen2.5-3b-instruct:4bit,195.9035250496149,745.9404990198134,0.0,0.007936507936507936,0.4365079365079365,否
creative,gemma3:4b,qwen--qwen2.5-3b-instruct:8bit,195.9035250496149,1186.6725251203538,0.0,0.007936507936507936,0.4365079365079365,否
creative,gemma3:4b,qwen--qwen2.5-7b-instruct:4bit,195.9035250496149,1513.8227501753806,0.0,0.007936507936507936,0.4365079365079365,否
creative,gemma3:4b,qwen3:4b,195.9035250496149,519.7349371168136,0.0,0.007936507936507936,0.4365079365079365,否
creative,gemma3:4b,qwen3:8b,195.9035250496149,852.5743601262093,0.0,0.007936507936507936,0.4365079365079365,否
creative,google--gemma-2b-it:4bit,google--gemma-2b-it:8bit,89.02937810506822,225.7692752110958,3.0,0.05555555555555555,1.0,否
creative,google--gemma-2b-it:4bit,microsoft--phi-3-mini-4k-instruct:4bit,89.02937810506822,840.9297835720301,0.0,0.007936507936507936,0.4365079365079365,否
creative,google--gemma-2b-it:4bit,microsoft--phi-3-mini-4k-instruct:8bit,89.02937810506822,840.7211581257343,2.0,0.031746031746031744,1.0,否
creative,google--gemma-2b-it:4bit,qwen--qwen2.5-3b-instruct:4bit,89.02937810506822,745.9404990198134,0.0,0.007936507936507936,0.4365079365079365,否
creative,google--gemma-2b-it:4bit,qwen--qwen2.5-3b-instruct:8bit,89.02937810506822,1186.6725251203538,0.0,0.007936507936507936,0.4365079365079365,否
creative,google--gemma-2b-it:4bit,qwen--qwen2.5-7b-instruct:4bit,89.02937810506822,1513.8227501753806,0.0,0.007936507936507936,0.4365079365079365,否
creative,google--gemma-2b-it:4bit,qwen3:4b,89.02937810506822,519.7349371168136,0.0,0.007936507936507936,0.4365079365079365,否
creative,google--gemma-2b-it:4bit,qwen3:8b,89.02937810506822,852.5743601262093,0.0,0.007936507936507936,0.4365079365079365,否
