任务,模型1,模型2,模型1均值,模型2均值,U统计量,p值,p值(校正),是否显著
math,deepseek-r1:8b,gemma3:4b,789.8264931917905,346.8040997459888,25.0,0.007936507936507936,0.4365079365079365,否
math,deepseek-r1:8b,google--gemma-2b-it:4bit,789.8264931917905,107.17122361803054,25.0,0.007936507936507936,0.4365079365079365,否
math,deepseek-r1:8b,google--gemma-2b-it:8bit,789.8264931917905,144.96268514387606,25.0,0.007936507936507936,0.4365079365079365,否
math,deepseek-r1:8b,microsoft--phi-3-mini-4k-instruct:4bit,789.8264931917905,220.80086568458077,25.0,0.007936507936507936,0.4365079365079365,否
math,deepseek-r1:8b,microsoft--phi-3-mini-4k-instruct:8bit,789.8264931917905,245.0031303935766,25.0,0.007936507936507936,0.4365079365079365,否
math,deepseek-r1:8b,qwen--qwen2.5-3b-instruct:4bit,789.8264931917905,635.9631941335201,18.0,0.30952380952380953,1.0,否
math,deepseek-r1:8b,qwen--qwen2.5-3b-instruct:8bit,789.8264931917905,1004.9392396960259,4.0,0.09523809523809523,1.0,否
math,deepseek-r1:8b,qwen--qwen2.5-7b-instruct:4bit,789.8264931917905,1271.5747205120801,2.0,0.031746031746031744,1.0,否
math,deepseek-r1:8b,qwen3:4b,789.8264931917905,428.1854501842498,23.0,0.031746031746031744,1.0,否
math,deepseek-r1:8b,qwen3:8b,789.8264931917905,791.2611164692164,12.0,1.0,1.0,否
math,gemma3:4b,google--gemma-2b-it:4bit,346.8040997459888,107.17122361803054,25.0,0.007936507936507936,0.4365079365079365,否
math,gemma3:4b,google--gemma-2b-it:8bit,346.8040997459888,144.96268514387606,22.0,0.05555555555555555,1.0,否
math,gemma3:4b,microsoft--phi-3-mini-4k-instruct:4bit,346.8040997459888,220.80086568458077,22.0,0.05555555555555555,1.0,否
math,gemma3:4b,microsoft--phi-3-mini-4k-instruct:8bit,346.8040997459888,245.0031303935766,18.0,0.30952380952380953,1.0,否
math,gemma3:4b,qwen--qwen2.5-3b-instruct:4bit,346.8040997459888,635.9631941335201,0.0,0.007936507936507936,0.4365079365079365,否
math,gemma3:4b,qwen--qwen2.5-3b-instruct:8bit,346.8040997459888,1004.9392396960259,0.0,0.007936507936507936,0.4365079365079365,否
math,gemma3:4b,qwen--qwen2.5-7b-instruct:4bit,346.8040997459888,1271.5747205120801,0.0,0.007936507936507936,0.4365079365079365,否
math,gemma3:4b,qwen3:4b,346.8040997459888,428.1854501842498,6.0,0.2222222222222222,1.0,否
math,gemma3:4b,qwen3:8b,346.8040997459888,791.2611164692164,0.0,0.007936507936507936,0.4365079365079365,否
math,google--gemma-2b-it:4bit,google--gemma-2b-it:8bit,107.17122361803054,144.96268514387606,11.0,0.8412698412698413,1.0,否
math,google--gemma-2b-it:4bit,microsoft--phi-3-mini-4k-instruct:4bit,107.17122361803054,220.80086568458077,4.0,0.09523809523809523,1.0,否
math,google--gemma-2b-it:4bit,microsoft--phi-3-mini-4k-instruct:8bit,107.17122361803054,245.0031303935766,5.0,0.15079365079365079,1.0,否
math,google--gemma-2b-it:4bit,qwen--qwen2.5-3b-instruct:4bit,107.17122361803054,635.9631941335201,0.0,0.007936507936507936,0.4365079365079365,否
math,google--gemma-2b-it:4bit,qwen--qwen2.5-3b-instruct:8bit,107.17122361803054,1004.9392396960259,0.0,0.007936507936507936,0.4365079365079365,否
math,google--gemma-2b-it:4bit,qwen--qwen2.5-7b-instruct:4bit,107.17122361803054,1271.5747205120801,0.0,0.007936507936507936,0.4365079365079365,否
math,google--gemma-2b-it:4bit,qwen3:4b,107.17122361803054,428.1854501842498,0.0,0.007936507936507936,0.4365079365079365,否
math,google--gemma-2b-it:4bit,qwen3:8b,107.17122361803054,791.2611164692164,0.0,0.007936507936507936,0.4365079365079365,否
math,google--gemma-2b-it:8bit,microsoft--phi-3-mini-4k-instruct:4bit,144.96268514387606,220.80086568458077,7.0,0.30952380952380953,1.0,否
math,google--gemma-2b-it:8bit,microsoft--phi-3-mini-4k-instruct:8bit,144.96268514387606,245.0031303935766,7.0,0.30952380952380953,1.0,否
math,google--gemma-2b-it:8bit,qwen--qwen2.5-3b-instruct:4bit,144.96268514387606,635.9631941335201,0.0,0.007936507936507936,0.4365079365079365,否
math,google--gemma-2b-it:8bit,qwen--qwen2.5-3b-instruct:8bit,144.96268514387606,1004.9392396960259,0.0,0.007936507936507936,0.4365079365079365,否
math,google--gemma-2b-it:8bit,qwen--qwen2.5-7b-instruct:4bit,144.96268514387606,1271.5747205120801,0.0,0.007936507936507936,0.4365079365079365,否
math,google--gemma-2b-it:8bit,qwen3:4b,144.96268514387606,428.1854501842498,2.0,0.031746031746031744,1.0,否
math,google--gemma-2b-it:8bit,qwen3:8b,144.96268514387606,791.2611164692164,0.0,0.007936507936507936,0.4365079365079365,否
math,microsoft--phi-3-mini-4k-instruct:4bit,microsoft--phi-3-mini-4k-instruct:8bit,220.80086568458077,245.0031303935766,11.0,0.8412698412698413,1.0,否
math,microsoft--phi-3-mini-4k-instruct:4bit,qwen--qwen2.5-3b-instruct:4bit,220.80086568458077,635.9631941335201,0.0,0.007936507936507936,0.4365079365079365,否
math,microsoft--phi-3-mini-4k-instruct:4bit,qwen--qwen2.5-3b-instruct:8bit,220.80086568458077,1004.9392396960259,0.0,0.007936507936507936,0.4365079365079365,否
math,microsoft--phi-3-mini-4k-instruct:4bit,qwen--qwen2.5-7b-instruct:4bit,220.80086568458077,1271.5747205120801,0.0,0.007936507936507936,0.4365079365079365,否
math,microsoft--phi-3-mini-4k-instruct:4bit,qwen3:4b,220.80086568458077,428.1854501842498,2.0,0.031746031746031744,1.0,否
