任务,模型1,模型2,模型1均值,模型2均值,U统计量,p值,p值(校正),是否显著
multi_turn,deepseek-r1:8b,gemma3:4b,1755.2745104012968,945.8122606679915,22.0,0.05555555555555555,1.0,否
multi_turn,deepseek-r1:8b,google--gemma-2b-it:4bit,1755.2745104012968,611.4642893908979,25.0,0.007936507936507936,0.4365079365079365,否
multi_turn,deepseek-r1:8b,google--gemma-2b-it:8bit,1755.2745104012968,1048.6864389327525,25.0,0.007936507936507936,0.4365079365079365,否
multi_turn,deepseek-r1:8b,microsoft--phi-3-mini-4k-instruct:4bit,1755.2745104012968,1564.597973065996,16.0,0.5476190476190477,1.0,否
multi_turn,deepseek-r1:8b,microsoft--phi-3-mini-4k-instruct:8bit,1755.2745104012968,1987.9318975857016,9.0,0.5476190476190477,1.0,否
multi_turn,deepseek-r1:8b,qwen--qwen2.5-3b-instruct:4bit,1755.2745104012968,1546.8454665736674,17.0,0.42063492063492064,1.0,否
multi_turn,deepseek-r1:8b,qwen--qwen2.5-3b-instruct:8bit,1755.2745104012968,2409.321511347437,5.0,0.15079365079365079,1.0,否
multi_turn,deepseek-r1:8b,qwen--qwen2.5-7b-instruct:4bit,1755.2745104012968,3052.1332363580705,2.0,0.031746031746031744,1.0,否
multi_turn,deepseek-r1:8b,qwen3:4b,1755.2745104012968,1065.1694531396388,22.0,0.05555555555555555,1.0,否
multi_turn,deepseek-r1:8b,qwen3:8b,1755.2745104012968,1758.1294586513518,13.0,1.0,1.0,否
multi_turn,gemma3:4b,google--gemma-2b-it:4bit,945.8122606679915,611.4642893908979,19.0,0.2222222222222222,1.0,否
multi_turn,gemma3:4b,google--gemma-2b-it:8bit,945.8122606679915,1048.6864389327525,9.0,0.5476190476190477,1.0,否
multi_turn,gemma3:4b,microsoft--phi-3-mini-4k-instruct:4bit,945.8122606679915,1564.597973065996,4.0,0.09523809523809523,1.0,否
multi_turn,gemma3:4b,microsoft--phi-3-mini-4k-instruct:8bit,945.8122606679915,1987.9318975857016,3.0,0.05555555555555555,1.0,否
multi_turn,gemma3:4b,qwen--qwen2.5-3b-instruct:4bit,945.8122606679915,1546.8454665736674,3.0,0.05555555555555555,1.0,否
multi_turn,gemma3:4b,qwen--qwen2.5-3b-instruct:8bit,945.8122606679915,2409.321511347437,0.0,0.007936507936507936,0.4365079365079365,否
multi_turn,gemma3:4b,qwen--qwen2.5-7b-instruct:4bit,945.8122606679915,3052.1332363580705,0.0,0.007936507936507936,0.4365079365079365,否
multi_turn,gemma3:4b,qwen3:4b,945.8122606679915,1065.1694531396388,11.0,0.8412698412698413,1.0,否
multi_turn,gemma3:4b,qwen3:8b,945.8122606679915,1758.1294586513518,3.0,0.05555555555555555,1.0,否
multi_turn,google--gemma-2b-it:4bit,google--gemma-2b-it:8bit,611.4642893908979,1048.6864389327525,1.0,0.015873015873015872,0.873015873015873,否
multi_turn,google--gemma-2b-it:4bit,microsoft--phi-3-mini-4k-instruct:4bit,611.4642893908979,1564.597973065996,0.0,0.007936507936507936,0.4365079365079365,否
multi_turn,google--gemma-2b-it:4bit,microsoft--phi-3-mini-4k-instruct:8bit,611.4642893908979,1987.9318975857016,0.0,0.007936507936507936,0.4365079365079365,否
multi_turn,google--gemma-2b-it:4bit,qwen--qwen2.5-3b-instruct:4bit,611.4642893908979,1546.8454665736674,0.0,0.007936507936507936,0.4365079365079365,否
multi_turn,google--gemma-2b-it:4bit,qwen--qwen2.5-3b-instruct:8bit,611.4642893908979,2409.321511347437,0.0,0.007936507936507936,0.4365079365079365,否
multi_turn,google--gemma-2b-it:4bit,qwen--qwen2.5-7b-instruct:4bit,611.4642893908979,3052.1332363580705,0.0,0.007936507936507936,0.4365079365079365,否
multi_turn,google--gemma-2b-it:4bit,qwen3:4b,611.4642893908979,1065.1694531396388,0.0,0.007936507936507936,0.4365079365079365,否
multi_turn,google--gemma-2b-it:4bit,qwen3:8b,611.4642893908979,1758.1294586513518,0.0,0.007936507936507936,0.4365079365079365,否
multi_turn,google--gemma-2b-it:8bit,microsoft--phi-3-mini-4k-instruct:4bit,1048.6864389327525,1564.597973065996,2.0,0.031746031746031744,1.0,否
multi_turn,google--gemma-2b-it:8bit,microsoft--phi-3-mini-4k-instruct:8bit,1048.6864389327525,1987.9318975857016,0.0,0.007936507936507936,0.4365079365079365,否
multi_turn,google--gemma-2b-it:8bit,qwen--qwen2.5-3b-instruct:4bit,1048.6864389327525,1546.8454665736674,2.0,0.031746031746031744,1.0,否
multi_turn,google--gemma-2b-it:8bit,qwen--qwen2.5-3b-instruct:8bit,1048.6864389327525,2409.321511347437,0.0,0.007936507936507936,0.4365079365079365,否
multi_turn,google--gemma-2b-it:8bit,qwen--qwen2.5-7b-instruct:4bit,1048.6864389327525,3052.1332363580705,0.0,0.007936507936507936,0.4365079365079365,否
