任务,模型1,模型2,模型1均值,模型2均值,U统计量,p值,p值(校正),是否显著
qa,deepseek-r1:8b,gemma3:4b,454.6893629753828,313.7170852800369,19.0,0.2222222222222222,1.0,否
qa,deepseek-r1:8b,google--gemma-2b-it:4bit,454.6893629753828,136.7951804397106,25.0,0.007936507936507936,0.4365079365079365,否
qa,deepseek-r1:8b,google--gemma-2b-it:8bit,454.6893629753828,232.9775873328686,22.0,0.05555555555555555,1.0,否
qa,deepseek-r1:8b,microsoft--phi-3-mini-4k-instruct:4bit,454.6893629753828,314.21940738337037,22.0,0.05555555555555555,1.0,否
qa,deepseek-r1:8b,microsoft--phi-3-mini-4k-instruct:8bit,454.6893629753828,426.93364223206044,14.0,0.8412698412698413,1.0,否
qa,deepseek-r1:8b,qwen--qwen2.5-3b-instruct:4bit,454.6893629753828,363.10897102313044,19.0,0.2222222222222222,1.0,否
qa,deepseek-r1:8b,qwen--qwen2.5-3b-instruct:8bit,454.6893629753828,578.5527097767591,6.0,0.2222222222222222,1.0,否
qa,deepseek-r1:8b,qwen--qwen2.5-7b-instruct:4bit,454.6893629753828,732.2673434552909,2.0,0.031746031746031744,1.0,否
qa,deepseek-r1:8b,qwen3:4b,454.6893629753828,247.09771262762547,25.0,0.007936507936507936,0.4365079365079365,否
qa,deepseek-r1:8b,qwen3:8b,454.6893629753828,461.49431701507575,11.0,0.8412698412698413,1.0,否
qa,gemma3:4b,google--gemma-2b-it:4bit,313.7170852800369,136.7951804397106,23.0,0.031746031746031744,1.0,否
qa,gemma3:4b,google--gemma-2b-it:8bit,313.7170852800369,232.9775873328686,20.0,0.15079365079365079,1.0,否
qa,gemma3:4b,microsoft--phi-3-mini-4k-instruct:4bit,313.7170852800369,314.21940738337037,9.0,0.5476190476190477,1.0,否
qa,gemma3:4b,microsoft--phi-3-mini-4k-instruct:8bit,313.7170852800369,426.93364223206044,5.0,0.15079365079365079,1.0,否
qa,gemma3:4b,qwen--qwen2.5-3b-instruct:4bit,313.7170852800369,363.10897102313044,6.0,0.2222222222222222,1.0,否
qa,gemma3:4b,qwen--qwen2.5-3b-instruct:8bit,313.7170852800369,578.5527097767591,0.0,0.007936507936507936,0.4365079365079365,否
qa,gemma3:4b,qwen--qwen2.5-7b-instruct:4bit,313.7170852800369,732.2673434552909,0.0,0.007936507936507936,0.4365079365079365,否
qa,gemma3:4b,qwen3:4b,313.7170852800369,247.09771262762547,19.0,0.2222222222222222,1.0,否
qa,gemma3:4b,qwen3:8b,313.7170852800369,461.49431701507575,4.0,0.09523809523809523,1.0,否
qa,google--gemma-2b-it:4bit,google--gemma-2b-it:8bit,136.7951804397106,232.9775873328686,5.0,0.15079365079365079,1.0,否
qa,google--gemma-2b-it:4bit,microsoft--phi-3-mini-4k-instruct:4bit,136.7951804397106,314.21940738337037,0.0,0.007936507936507936,0.4365079365079365,否
qa,google--gemma-2b-it:4bit,microsoft--phi-3-mini-4k-instruct:8bit,136.7951804397106,426.93364223206044,0.0,0.007936507936507936,0.4365079365079365,否
qa,google--gemma-2b-it:4bit,qwen--qwen2.5-3b-instruct:4bit,136.7951804397106,363.10897102313044,0.0,0.007936507936507936,0.4365079365079365,否
qa,google--gemma-2b-it:4bit,qwen--qwen2.5-3b-instruct:8bit,136.7951804397106,578.5527097767591,0.0,0.007936507936507936,0.4365079365079365,否
qa,google--gemma-2b-it:4bit,qwen--qwen2.5-7b-instruct:4bit,136.7951804397106,732.2673434552909,0.0,0.007936507936507936,0.4365079365079365,否
qa,google--gemma-2b-it:4bit,qwen3:4b,136.7951804397106,247.09771262762547,3.0,0.05555555555555555,1.0,否
qa,google--gemma-2b-it:4bit,qwen3:8b,136.7951804397106,461.49431701507575,0.0,0.007936507936507936,0.4365079365079365,否
qa,google--gemma-2b-it:8bit,microsoft--phi-3-mini-4k-instruct:4bit,232.9775873328686,314.21940738337037,5.0,0.15079365079365079,1.0,否
qa,google--gemma-2b-it:8bit,microsoft--phi-3-mini-4k-instruct:8bit,232.9775873328686,426.93364223206044,4.0,0.09523809523809523,1.0,否
qa,google--gemma-2b-it:8bit,qwen--qwen2.5-3b-instruct:4bit,232.9775873328686,363.10897102313044,3.0,0.05555555555555555,1.0,否
qa,google--gemma-2b-it:8bit,qwen--qwen2.5-3b-instruct:8bit,232.9775873328686,578.5527097767591,0.0,0.007936507936507936,0.4365079365079365,否
qa,google--gemma-2b-it:8bit,qwen--qwen2.5-7b-instruct:4bit,232.9775873328686,732.2673434552909,0.0,0.007936507936507936,0.4365079365079365,否
qa,google--gemma-2b-it:8bit,qwen3:4b,232.9775873328686,247.09771262762547,9.0,0.5476190476190477,1.0,否
qa,google--gemma-2b-it:8bit,qwen3:8b,232.9775873328686,461.49431701507575,2.0,0.031746031746031744,1.0,否
