任务,模型1,模型2,模型1均值,模型2均值,U统计量,p值,p值(校正),是否显著
reasoning,deepseek-r1:8b,gemma3:4b,792.3026168684244,340.8550288916588,23.0,0.031746031746031744,1.0,否
reasoning,deepseek-r1:8b,google--gemma-2b-it:4bit,792.3026168684244,58.13434987182617,25.0,0.007936507936507936,0.4365079365079365,否
reasoning,deepseek-r1:8b,google--gemma-2b-it:8bit,792.3026168684244,95.05725156223772,25.0,0.007936507936507936,0.4365079365079365,否
reasoning,deepseek-r1:8b,microsoft--phi-3-mini-4k-instruct:4bit,792.3026168684244,731.3263313687086,17.0,0.42063492063492064,1.0,否
reasoning,deepseek-r1:8b,microsoft--phi-3-mini-4k-instruct:8bit,792.3026168684244,901.9001168470382,8.0,0.42063492063492064,1.0,否
reasoning,deepseek-r1:8b,qwen--qwen2.5-3b-instruct:4bit,792.3026168684244,643.1952661739826,18.0,0.30952380952380953,1.0,否
reasoning,deepseek-r1:8b,qwen--qwen2.5-3b-instruct:8bit,792.3026168684244,996.9732024443863,4.0,0.09523809523809523,1.0,否
reasoning,deepseek-r1:8b,qwen--qwen2.5-7b-instruct:4bit,792.3026168684244,1267.8818632812258,2.0,0.031746031746031744,1.0,否
reasoning,deepseek-r1:8b,qwen3:4b,792.3026168684244,428.4106168381692,23.0,0.031746031746031744,1.0,否
reasoning,deepseek-r1:8b,qwen3:8b,792.3026168684244,791.1814830779552,13.0,1.0,1.0,否
reasoning,gemma3:4b,google--gemma-2b-it:4bit,340.8550288916588,58.13434987182617,23.0,0.031746031746031744,1.0,否
reasoning,gemma3:4b,google--gemma-2b-it:8bit,340.8550288916588,95.05725156223772,21.0,0.09523809523809523,1.0,否
reasoning,gemma3:4b,microsoft--phi-3-mini-4k-instruct:4bit,340.8550288916588,731.3263313687086,2.0,0.031746031746031744,1.0,否
reasoning,gemma3:4b,microsoft--phi-3-mini-4k-instruct:8bit,340.8550288916588,901.9001168470382,0.0,0.007936507936507936,0.4365079365079365,否
reasoning,gemma3:4b,qwen--qwen2.5-3b-instruct:4bit,340.8550288916588,643.1952661739826,4.0,0.09523809523809523,1.0,否
reasoning,gemma3:4b,qwen--qwen2.5-3b-instruct:8bit,340.8550288916588,996.9732024443863,0.0,0.007936507936507936,0.4365079365079365,否
