任务,模型1,模型2,模型1均值,模型2均值,U统计量,p值,p值(校正),是否显著
summary,deepseek-r1:8b,gemma3:4b,438.98760810730465,71.78077997944355,25.0,0.007936507936507936,0.4365079365079365,否
summary,deepseek-r1:8b,google--gemma-2b-it:4bit,438.98760810730465,31.41483060662747,25.0,0.007936507936507936,0.4365079365079365,否
summary,deepseek-r1:8b,google--gemma-2b-it:8bit,438.98760810730465,46.542533881187445,25.0,0.007936507936507936,0.4365079365079365,否
summary,deepseek-r1:8b,microsoft--phi-3-mini-4k-instruct:4bit,438.98760810730465,383.6018713267326,14.0,0.8412698412698413,1.0,否
summary,deepseek-r1:8b,microsoft--phi-3-mini-4k-instruct:8bit,438.98760810730465,452.40425519340045,11.0,0.8412698412698413,1.0,否
summary,deepseek-r1:8b,qwen--qwen2.5-3b-instruct:4bit,438.98760810730465,365.77986983144285,22.0,0.05555555555555555,1.0,否
summary,deepseek-r1:8b,qwen--qwen2.5-3b-instruct:8bit,438.98760810730465,571.1294137212515,0.0,0.007936507936507936,0.4365079365079365,否
summary,deepseek-r1:8b,qwen--qwen2.5-7b-instruct:4bit,438.98760810730465,700.0343429092646,0.0,0.007936507936507936,0.4365079365079365,否
summary,deepseek-r1:8b,qwen3:4b,438.98760810730465,233.63843381175994,25.0,0.007936507936507936,0.4365079365079365,否
summary,deepseek-r1:8b,qwen3:8b,438.98760810730465,434.10877193374637,12.0,1.0,1.0,否
summary,gemma3:4b,google--gemma-2b-it:4bit,71.78077997944355,31.41483060662747,20.0,0.15079365079365079,1.0,否
summary,gemma3:4b,google--gemma-2b-it:8bit,71.78077997944355,46.542533881187445,20.0,0.15079365079365079,1.0,否
summary,gemma3:4b,microsoft--phi-3-mini-4k-instruct:4bit,71.78077997944355,383.6018713267326,0.0,0.007936507936507936,0.4365079365079365,否
summary,gemma3:4b,microsoft--phi-3-mini-4k-instruct:8bit,71.78077997944355,452.40425519340045,0.0,0.007936507936507936,0.4365079365079365,否
summary,gemma3:4b,qwen--qwen2.5-3b-instruct:4bit,71.78077997944355,365.77986983144285,0.0,0.007936507936507936,0.4365079365079365,否
summary,gemma3:4b,qwen--qwen2.5-3b-instruct:8bit,71.78077997944355,571.1294137212515,0.0,0.007936507936507936,0.4365079365079365,否
