任务,模型1,模型2,模型1均值,模型2均值,U统计量,p值,p值(校正),是否显著
translation,deepseek-r1:8b,gemma3:4b,493.4708130414724,319.03479119195947,25.0,0.007936507936507936,0.4365079365079365,否
translation,deepseek-r1:8b,google--gemma-2b-it:4bit,493.4708130414724,170.5762600324869,25.0,0.007936507936507936,0.4365079365079365,否
translation,deepseek-r1:8b,google--gemma-2b-it:8bit,493.4708130414724,299.7631403900624,22.0,0.05555555555555555,1.0,否
translation,deepseek-r1:8b,microsoft--phi-3-mini-4k-instruct:4bit,493.4708130414724,468.534309852004,13.0,1.0,1.0,否
translation,deepseek-r1:8b,microsoft--phi-3-mini-4k-instruct:8bit,493.4708130414724,593.1137879688024,2.0,0.031746031746031744,1.0,否
translation,deepseek-r1:8b,qwen--qwen2.5-3b-instruct:4bit,493.4708130414724,436.90222290723324,18.0,0.30952380952380953,1.0,否
translation,deepseek-r1:8b,qwen--qwen2.5-3b-instruct:8bit,493.4708130414724,694.5230122847081,0.0,0.007936507936507936,0.4365079365079365,否
translation,deepseek-r1:8b,qwen--qwen2.5-7b-instruct:4bit,493.4708130414724,886.3113660883904,0.0,0.007936507936507936,0.4365079365079365,否
translation,deepseek-r1:8b,qwen3:4b,493.4708130414724,297.5647201788187,25.0,0.007936507936507936,0.4365079365079365,否
translation,deepseek-r1:8b,qwen3:8b,493.4708130414724,532.2190720459937,7.0,0.30952380952380953,1.0,否
translation,gemma3:4b,google--gemma-2b-it:4bit,319.03479119195947,170.5762600324869,22.0,0.05555555555555555,1.0,否
translation,gemma3:4b,google--gemma-2b-it:8bit,319.03479119195947,299.7631403900624,16.0,0.5476190476190477,1.0,否
translation,gemma3:4b,microsoft--phi-3-mini-4k-instruct:4bit,319.03479119195947,468.534309852004,0.0,0.007936507936507936,0.4365079365079365,否
translation,gemma3:4b,microsoft--phi-3-mini-4k-instruct:8bit,319.03479119195947,593.1137879688024,0.0,0.007936507936507936,0.4365079365079365,否
translation,gemma3:4b,qwen--qwen2.5-3b-instruct:4bit,319.03479119195947,436.90222290723324,3.0,0.05555555555555555,1.0,否
translation,gemma3:4b,qwen--qwen2.5-3b-instruct:8bit,319.03479119195947,694.5230122847081,0.0,0.007936507936507936,0.4365079365079365,否
translation,gemma3:4b,qwen--qwen2.5-7b-instruct:4bit,319.03479119195947,886.3113660883904,0.0,0.007936507936507936,0.4365079365079365,否
translation,gemma3:4b,qwen3:4b,319.03479119195947,297.5647201788187,17.0,0.42063492063492064,1.0,否
translation,gemma3:4b,qwen3:8b,319.03479119195947,532.2190720459937,0.0,0.007936507936507936,0.4365079365079365,否
translation,google--gemma-2b-it:4bit,google--gemma-2b-it:8bit,170.5762600324869,299.7631403900624,6.0,0.2222222222222222,1.0,否
translation,google--gemma-2b-it:4bit,microsoft--phi-3-mini-4k-instruct:4bit,170.5762600324869,468.534309852004,0.0,0.007936507936507936,0.4365079365079365,否
translation,google--gemma-2b-it:4bit,microsoft--phi-3-mini-4k-instruct:8bit,170.5762600324869,593.1137879688024,0.0,0.007936507936507936,0.4365079365079365,否
