模型,样本量,均值,标准差,中位数
google--gemma-2b-it:4bit,8,225.26875,238.02591992335024,121.98500000000001
google--gemma-2b-it:8bit,8,356.15,355.1702483920312,229.375
gemma3:4b,8,358.85125,255.80586514204757,327.97
qwen3:4b,8,524.3225,322.1932861653079,428.3
microsoft--phi-3-mini-4k-instruct:4bit,8,641.01875,427.93207069205,536.335
qwen--qwen2.5-3b-instruct:4bit,8,770.54,464.3157210654959,639.58
microsoft--phi-3-mini-4k-instruct:8bit,8,808.8700000000001,545.5195526154074,716.915
deepseek-r1:8b,8,868.215,475.92423466646153,791.065
qwen3:8b,8,906.47125,512.7875864732604,791.22
qwen--qwen2.5-3b-instruct:8bit,8,1187.355,687.8344905779088,1000.955
qwen--qwen2.5-7b-instruct:4bit,8,1523.97875,904.2836918394502,1269.725
qwen--qwen2.5-7b-instruct:8bit,2,6271.105,2314.4241344338766,6271.105
