组1,组2,U统计量,p值,校正后α,是否显著,均值差
code,creative,99.0,0.12602212177037309,0.0017857142857142859,否,752.0833333333335
code,math,108.0,0.010644786560634337,0.0017857142857142859,否,1246.325378787879
code,multi_turn,49.0,0.3098652593617933,0.0017857142857142859,否,177.33628787878797
code,qa,124.0,0.0004018279162905779,0.0017857142857142859,是,1403.1090151515152
code,reasoning,101.0,0.03372635757681134,0.0017857142857142859,否,1149.8944696969697
code,summary,123.0,0.0005064253596787044,0.0017857142857142859,是,1451.5135606060608
code,translation,120.0,0.0009923121699459702,0.0017857142857142859,是,1318.5517424242425
creative,math,86.0,0.23008418191625113,0.0017857142857142859,否,494.2420454545454
creative,multi_turn,24.0,0.010644786560634337,0.0017857142857142859,否,-574.7470454545455
creative,qa,99.0,0.04547470755522374,0.0017857142857142859,否,651.0256818181817
creative,reasoning,79.0,0.4417022877906004,0.0017857142857142859,否,397.81113636363636
creative,summary,106.0,0.015054848142722312,0.0017857142857142859,否,699.4302272727273
creative,translation,92.0,0.11655091953221398,0.0017857142857142859,否,566.4684090909091
math,multi_turn,9.0,0.0008112851998172992,0.0017857142857142859,是,-1068.989090909091
math,qa,70.0,0.5545304064894243,0.0017857142857142859,否,156.7836363636364
math,reasoning,52.0,0.5993606964290359,0.0017857142857142859,否,-96.43090909090904
math,summary,77.0,0.2934238832742103,0.0017857142857142859,否,205.18818181818187
math,translation,61.0,1.0,0.0017857142857142859,否,72.2263636363636
multi_turn,qa,120.0,0.00010695988268558165,0.0017857142857142859,是,1225.7727272727273
multi_turn,reasoning,110.0,0.0012927447796956875,0.0017857142857142859,是,972.5581818181819
multi_turn,summary,120.0,0.00010695988268558165,0.0017857142857142859,是,1274.1772727272728
multi_turn,translation,119.0,0.00013977242646358396,0.0017857142857142859,是,1141.2154545454546
qa,reasoning,34.0,0.0877681118303241,0.0017857142857142859,否,-253.21454545454543
qa,summary,67.0,0.6935883744907081,0.0017857142857142859,否,48.404545454545485
qa,translation,44.0,0.2934238832742103,0.0017857142857142859,否,-84.55727272727279
reasoning,summary,91.0,0.048844064174274296,0.0017857142857142859,否,301.6190909090909
reasoning,translation,80.0,0.21216467995625798,0.0017857142857142859,否,168.65727272727264
summary,translation,41.0,0.21216467995625798,0.0017857142857142859,否,-132.96181818181827
