model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,1387.4209912241702,1227.8423734190465,1247.139268784642,1571.7011238927837,1591.895764991403
gemma_2b_hf_4bit,592.8439809533357,522.869536408663,881.2742751357553,267.8857099246979,722.9642353719473
gemma_2b_hf_8bit,904.4317290388344,782.2096881903411,747.7752939240931,705.2316799820666,637.5675092022418
gemma_4b_ol_q4km,298.219483610034,366.2160892523527,280.3810058041811,283.5715462787151,456.1616506545543
phi3_4b_hf_4bit,246.72551230466368,377.13514680600167,315.4033642953634,1740.6594722994566,340.7876995862722
phi3_4b_hf_8bit,354.2302006797791,324.68090236508846,232.47247146630284,2028.1191808382275,2175.3475213408474
qwen25_3b_hf_4bit,2287.0132209959024,1075.1956943441633,1034.4805841000086,1329.4739600282917,1406.717387412548
qwen25_3b_hf_8bit,3105.3122896177724,1570.6865099028366,1644.8818319203842,1893.427405292272,2069.378791909815
qwen25_7b_hf_4bit,4929.718513014794,1917.6714659498928,1924.184672539949,2564.729991522668,2502.8016901273727
qwen25_7b_hf_8bit,11724.040240764143,6118.694564748165,6076.580181244853,7684.258745899083,7934.689214921468
qwen_4b_ol_q4km,1708.8193085207934,691.8272253096103,709.1796879827975,882.1731891548635,881.8842098363635
qwen_8b_ol_q4km,2465.124386630178,1246.043478993893,1257.4063841853138,1586.524277686358,1598.9346490796802
