model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,74.49734090909091,80.01702739726028,81.72254794520549,83.22172222222221,83.61085555555556
gemma_2b_hf_4bit,28.9820202020202,27.35540860215053,32.206007518796994,37.98260000000001,39.45121348314606
gemma_2b_hf_8bit,27.9643949044586,26.213958620689656,23.83892763157895,23.332530612244906,28.97319626168224
gemma_4b_ol_q4km,36.17646153846154,64.60374074074073,58.31565217391303,59.290000000000006,65.58424242424242
phi3_4b_hf_4bit,23.583215686274517,40.11289130434783,37.848365853658535,43.985869791666666,35.69325531914893
phi3_4b_hf_8bit,20.885073170731705,29.80896226415094,20.08022807017544,33.748179310344824,38.04259566787003
qwen25_3b_hf_4bit,28.55768217054263,30.820236686390537,29.999754491017963,30.950990384615388,32.940091787439606
qwen25_3b_hf_8bit,19.055670918367348,18.562809290953545,17.83514765100671,17.85037937743191,17.91632258064516
qwen25_7b_hf_4bit,51.64473636363637,66.99377697841726,65.77216901408451,60.50317961165048,64.83351871657753
qwen25_7b_hf_8bit,32.23811956521739,31.8840482832618,31.864104864864863,32.059575,31.79230578512396
qwen_4b_ol_q4km,65.83327419354839,72.41151111111112,74.22984444444442,75.43736363636363,74.18932142857143
qwen_8b_ol_q4km,78.86910135135136,80.99857534246576,81.9860684931507,84.10783146067415,84.29462222222223
