model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,18.582202911376957,15.195911407470703,15.17444348335266,18.77617621421814,18.909351348876957
gemma_2b_hf_4bit,20.912287712097168,19.08083438873291,27.262556314468384,7.023826599121094,18.2627055644989
gemma_2b_hf_8bit,32.732202768325806,29.76624011993408,31.28405237197876,30.1784029006958,21.906732082366943
gemma_4b_ol_q4km,8.146795749664307,5.603710174560547,4.765494108200073,4.715880632400513,6.890774965286255
phi3_4b_hf_4bit,10.687132596969604,9.34287166595459,8.301982402801514,39.48795795440674,9.526498556137083
phi3_4b_hf_8bit,16.937766075134277,10.77681565284729,11.544950485229492,59.97601079940796,57.13094210624695
qwen25_3b_hf_4bit,80.25804328918457,34.795844316482544,34.376500606536865,42.84785270690918,42.60681915283203
qwen25_3b_hf_8bit,162.97545719146729,84.56005477905273,92.1784234046936,106.01409721374512,115.44702577590942
qwen25_7b_hf_4bit,91.55819272994997,28.554908990859985,29.11761736869812,42.2649233341217,38.45847964286804
qwen25_7b_hf_8bit,360.9933183193207,191.8530650138855,190.63422870635983,239.6314792633057,249.55954933166504
qwen_4b_ol_q4km,26.377953052520752,9.465418577194214,9.473036527633669,11.60892653465271,11.826776027679443
qwen_8b_ol_q4km,31.153314113616943,15.209723711013794,15.21219563484192,18.79767346382141,18.84729814529419
