model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,1866,2831,2451,1958,2305
gemma_2b_hf_4bit,1112,1329,2586,556,1644
gemma_2b_hf_8bit,1147,1278,1369,916,1024
gemma_4b_ol_q4km,389,733,831,619,998
phi3_4b_hf_4bit,107,451,431,2107,407
phi3_4b_hf_8bit,155,554,365,2142,2092
qwen25_3b_hf_4bit,4601,2217,2670,1614,3236
qwen25_3b_hf_8bit,3525,2300,2690,2802,1686
qwen25_7b_hf_4bit,5528,2683,2107,3927,3147
qwen25_7b_hf_8bit,4019,2354,2160,3185,2590
qwen_4b_ol_q4km,4542,2677,2539,2762,2552
qwen_8b_ol_q4km,1376,2431,2596,2864,3063
