model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,36.59415426917279,42.11659194626256,42.17617606221415,42.60718427824538,42.3071096009601
gemma_2b_hf_4bit,16.832209122504466,22.064024634509558,23.512101822227795,27.76264437171623,25.845020516430303
gemma_2b_hf_8bit,11.120547021425468,12.362999106277952,11.44353026082586,10.83556346821987,13.055347503437345
gemma_4b_ol_q4km,17.30741807364079,49.43153578097441,45.955360562331336,45.80268603831265,52.09863938505304
phi3_4b_hf_4bit,4.3978120018204985,15.9479874419078,16.140723203024564,20.259340858387496,18.684724398066518
phi3_4b_hf_8bit,4.900292023860768,13.454809349150391,9.441357079829285,13.338666399064625,14.00291979278466
qwen25_3b_hf_4bit,14.9393126328757,18.36426195576781,18.53010017776129,18.67071392053681,18.77633711942622
qwen25_3b_hf_8bit,7.3630718433279965,7.556759532259591,6.910510903439523,7.536733519402236,6.920923208112036
qwen25_7b_hf_4bit,13.084574567056931,22.3429183473922,21.292951004518294,18.92822550926377,20.801654340705497
qwen25_7b_hf_8bit,3.31862098051437,3.3358862416593635,3.294266744548425,3.3384595482172217,3.205647718720628
qwen_4b_ol_q4km,45.492536801877606,67.6145481344061,67.56017441008115,68.91248709447817,67.64311745886421
qwen_8b_ol_q4km,38.51917634263786,42.078344890417554,42.07150731970262,42.55845818046073,42.44640233484844
