model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,721.1956429157257,952.5488146685362,965.9006110287904,643.7691781231165,796.4521158936025
gemma_2b_hf_4bit,81.30301888513564,122.47863901484014,9.594089662194254,74.74656730377676,157.0245756593943
gemma_2b_hf_8bit,188.83522082114217,133.15303165614603,206.4890866485834,120.68133310866354,479.6877038209437
gemma_4b_ol_q4km,89.3523643848896,274.6995661188364,233.75510872983935,181.19886004841328,200.51172596609595
phi3_4b_hf_4bit,876.9939637125727,877.1636923558713,903.2124281637668,875.7313045276404,671.5475291002988
phi3_4b_hf_8bit,1101.003812856912,98.22178554522992,1101.6261667773724,1066.861733049392,835.8922923997641
qwen25_3b_hf_4bit,773.723933857203,787.6069750175478,784.3783676532505,780.401440633416,603.5917779376507
qwen25_3b_hf_8bit,1257.3257280206683,1238.4820226759905,1233.1704186748264,1242.0744296661624,962.3100265641212
qwen25_7b_hf_4bit,1736.731451874614,1481.3323683615924,1631.5384185899488,1478.727449065924,1240.7840629848242
qwen25_7b_hf_8bit,4634.558855821847,,,,
qwen_4b_ol_q4km,533.1942200820445,540.2476835833788,538.9235658656357,560.214797962427,426.0944180905819
qwen_8b_ol_q4km,894.5680342286823,970.6714973176718,978.1823147369624,648.7188263726233,770.7311279751062
