model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,75.48904347826087,79.7792105263158,79.53353448275861,76.17214634146342,80.00164583333334
gemma_2b_hf_4bit,26.19825,29.15247619047619,21.046000000000003,26.798357142857142,33.591913043478264
gemma_2b_hf_8bit,27.472352941176467,23.68346428571429,24.85239024390244,21.34071428571429,28.343710843373497
gemma_4b_ol_q4km,36.09383333333333,57.68765217391302,50.61995454545454,52.75970588235294,54.61088888888888
phi3_4b_hf_4bit,33.0880234375,34.631081300813015,33.277878787878784,35.695529411764696,30.76125471698113
phi3_4b_hf_8bit,28.00831052631579,22.14313636363637,29.05346195652174,25.99654545454545,26.16707741935484
qwen25_3b_hf_4bit,26.824323741007195,27.529453237410078,28.109096296296297,26.931574468085103,27.411672897196254
qwen25_3b_hf_8bit,17.7980701754386,18.36418348623853,18.374617283950617,17.61247214076246,18.556924603174604
qwen25_7b_hf_4bit,53.74664102564103,65.77878181818184,58.029919117647054,64.35225,60.64036000000001
qwen25_7b_hf_8bit,31.719225669957684,,,,
qwen_4b_ol_q4km,69.38266666666667,70.98275000000001,70.097,71.14945945945942,68.01016666666668
qwen_8b_ol_q4km,81.2779245283019,81.84310714285714,80.89242105263159,75.15624390243903,76.82652083333333
