model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,9.50951862335205,11.848121404647827,12.06808352470398,8.411211252212524,9.895936489105225
gemma_2b_hf_4bit,3.1047980785369877,4.134026527404785,0.4353830814361572,2.7153122425079346,4.578332901000977
gemma_2b_hf_8bit,6.787283897399902,5.584351539611816,8.254097700119019,5.620881795883179,16.87879467010498
gemma_4b_ol_q4km,2.3832666873931885,4.725112676620483,4.5111472606658936,3.4285905361175537,3.662055253982544
phi3_4b_hf_4bit,26.416765451431274,25.24411034584045,27.124884366989136,24.42043876647949,21.74382472038269
phi3_4b_hf_8bit,39.271865129470825,4.368741750717163,37.82991099357605,40.9527735710144,31.85423970222473
qwen25_3b_hf_4bit,28.76262068748474,28.55753874778748,27.854209423065186,28.878392219543457,21.929048538208008
qwen25_3b_hf_8bit,70.59102177619934,67.3705403804779,67.04721927642822,70.46829390525818,51.82428812980652
qwen25_7b_hf_4bit,32.18266248703003,22.459821701049805,27.97465753555298,22.905844688415527,20.41754698753357
qwen25_7b_hf_8bit,146.0580334663391,,,,
qwen_4b_ol_q4km,7.523885488510132,7.518165349960327,7.5253753662109375,7.709999084472656,6.2138352394104
qwen_8b_ol_q4km,10.952758073806764,11.777884006500244,11.922685384750366,8.451661825180054,9.882110595703123
