model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,56.0,238.0,765.0,99.0,606.0
gemma_2b_hf_4bit,79.0,311.0,0.0,98.0,170.0
gemma_2b_hf_8bit,101.0,103.0,137.0,105.0,328.0
gemma_4b_ol_q4km,84.0,319.0,276.0,198.0,178.0
phi3_4b_hf_4bit,378.0,354.0,350.0,362.0,235.0
phi3_4b_hf_8bit,333.0,34.0,341.0,345.0,240.0
qwen25_3b_hf_4bit,768.0,844.0,763.0,872.0,584.0
qwen25_3b_hf_8bit,732.0,851.0,762.0,850.0,592.0
qwen25_7b_hf_4bit,830.0,863.0,790.0,912.0,618.0
qwen25_7b_hf_8bit,725.0,,,,
qwen_4b_ol_q4km,663.0,666.0,705.0,764.0,558.0
qwen_8b_ol_q4km,101.0,128.0,196.0,109.0,51.0
